date,BTC_headline,BTC_desc,text_compound,text_pos,text_neu,text_neg,title_compound,title_pos,title_neu,title_neg
2020-02-05,"After Tesla Goes Parabolic, The Risk Of Reversal Is High","After Tesla Goes Parabolic, The Risk Of Reversal Is High Don’t Chase Prices Or You Might Get Burned Tesla (TSLA) is riding a wave of bullish sentiment that has sent the stock to new all-time highs. A wave of upgrades over the past two weeks s...",-0.2732,0.0,0.953,0.047,-0.2732,0.0,0.811,0.189
2020-03-17,Why is Bitcoin Failing as a Stock Market Hedge?,"Why is Bitcoin Failing as a Stock Market Hedge? The storied history of Bitcoin (BTC) reveals how the very first block aptly referred to as the Genesis Block, was mined by its anonymous creator Satoshi Nakamoto on January 3, 2009. On that Genesis Blo...",-0.8548,0.0,0.81,0.19,-0.5106,0.0,0.68,0.32
2020-08-17,Three Things You Need To Know About Ethereum (ETH/USD),"Three Things You Need To Know About Ethereum (ETH/USD) Cryptocurrency, You Have To Be In It To Win It At the risk of damaging my own credibility, I am going to go out on a limb and say that I Iike Cryptocurrency. The technology is very interesting,...",-0.1531,0.076,0.817,0.108,0.0,0.0,1.0,0.0
2021-01-06,Marathon Patent Group (NASDAQ: MARA) Stock is Another Way to Play Bitcoin (BTC),Marathon Patent Group (NASDAQ: MARA) Stock is Another Way to Play Bitcoin (BTC) MARA Cryptocurrency mining company Marathon Patent Group (NASDAQ: MARA) stock has exploded in the past few months thanks to the surge in Bitcoin (BTC) values. While there...,0.7906,0.178,0.822,0.0,0.34,0.167,0.833,0.0
2021-01-11,Riot Blockchain (NASDAQ: RIOT) Stock the Other Bitcoin Play,"Riot Blockchain (NASDAQ: RIOT) Stock the Other Bitcoin Play RIOT Cryptocurrency mining company Riot Blockchain, Inc. (NASDAQ: RIOT) stock has rallied with the meteoric rise of Bitcoin (BTC). The Company’s primary business is to mine Bitcoins, j...",-0.8788,0.051,0.703,0.246,-0.296,0.185,0.538,0.277
2021-01-12,Here’s Why Bitcoin (BTC) Can Take Square (NYSE: SQ) to New Heights in 2021,"Here’s Why Bitcoin (BTC) Can Take Square (NYSE: SQ) to New Heights in 2021 SQ In 2018, Square (NYSE: SQ) started allowing people buy Bitcoin (BTC) through the Cash App. But it wasn’t until 2020 where investors realized just how big of an impact...",0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2021-01-16,MarketBeat Week in Review 1/11 - 1/15,MarketBeat Week in Review 1/11 - 1/15 It was a quieter week in relative terms. Bitcoin was one of the biggest stories as cryptocurrency is drawing renewed interest from speculative investors. President-elect Biden announced plans for more stimulus...,0.5267,0.115,0.885,0.0,0.0,0.0,1.0,0.0
2021-01-18,Grayscale Bitcoin Trust (OTCMKTS: GBTC) Stock is the Bitcoin Derivative of Choice,Grayscale Bitcoin Trust (OTCMKTS: GBTC) Stock is the Bitcoin Derivative of Choice GBTC Bitcoin tracking stock Grayscale Bitcoin Trust (OTCMKTS: GBTC) is an unofficial exchange-traded-fund (ETF) that invests in bitcoin through derivatives to track th...,0.765,0.167,0.833,0.0,0.5106,0.231,0.769,0.0
2021-01-20,These Dapps Are Taking Some Of The Risk Out Of Defi,"These Dapps Are Taking Some Of The Risk Out Of Defi Defi Is The Biggest Trend In Cryptocurrency You may think that rocketing prices is the biggest trend in cryptocurrency this year but you’d be wrong, it’s defi. Rocketing prices are cer...",-0.6908,0.0,0.875,0.125,-0.2732,0.0,0.826,0.174
2021-01-20,Advanced Micro Devices (NASDAQ: AMD) Stock Hasn’t Priced In Bitcoin (BTC) Fueled GPU Demand,Advanced Micro Devices (NASDAQ: AMD) Stock Hasn’t Priced In Bitcoin (BTC) Fueled GPU Demand AMD Semiconductor company Advanced Micro Devices (NASDAQ: AMD) stock has been both a pandemic  winner and a recovery play as it reached all-time highs i...,0.8442,0.263,0.703,0.034,0.128,0.129,0.774,0.097
2021-01-29,"Innovative Industrial Properties, Inc. (NYSE:IIPR) Given Average Recommendation of ""Buy"" by Analysts","Innovative Industrial Properties, Inc. (NYSE:IIPR) Given Average Recommendation of ""Buy"" by Analysts IIPR Innovative Industrial Properties, Inc. (NYSE:IIPR) has earned a consensus rating of ""Buy"" from the eight ratings firms that are currently cover...",0.7003,0.158,0.842,0.0,0.4404,0.209,0.791,0.0
2021-02-01,"This Is Why Bitcoin (BTC) Will Hit $59,000 In 2021","This Is Why Bitcoin (BTC) Will Hit $59,000 In 2021 There Are 7 Fundamental Factors Driving Bitcoin Higher As technical as cryptocurrency and Bitcoin (BTC) markets are there are some fundamentals driving the market. These include cryptocurrency&rsqu...",0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2021-02-08,These Two Catalysts Are Pushing Crypto Markets To New Highs,"These Two Catalysts Are Pushing Crypto Markets To New Highs TSLA Bitcoin And Tesla, The EV-Crypto Crossover Bitcoin (BTC) made headlines this morning when it surged to set a new all-time. The new high which was just shy of $45,000 comes exactly one ...",-0.25,0.0,0.955,0.045,0.0,0.0,1.0,0.0
2021-02-16,The Cryptocurrency Market Has Reached A Critical Mass,"The Cryptocurrency Market Has Reached A Critical Mass The Second Of Two Crypto-Revolutions Has Begun By definition, critical mass is the minimum amount of fissile material needed to sustain a nuclear reaction. Comparing the cryptocurrency market to...",-0.4939,0.037,0.842,0.121,-0.2263,0.161,0.575,0.264
2021-02-18,7 Penny Stocks That Don’t Care About Robinhood,"7 Penny Stocks That Don’t Care About Robinhood New Gold The first penny stock for you to consider is the junior miner, New Gold (NYSEAMERICAN:NGD). Prior to the pandemic, New Gold was a pure penny stock, meaning it was trading for less than $1 per sh...",0.4939,0.069,0.931,0.0,0.4939,0.348,0.652,0.0
2021-02-23,"Marathon Patent Group (NASDAQ:MARA) Lifted to ""Buy"" at Zacks Investment Research","Marathon Patent Group (NASDAQ:MARA) Lifted to ""Buy"" at Zacks Investment Research MARA Marathon Patent Group (NASDAQ:MARA) was upgraded by Zacks Investment Research from a ""hold"" rating to a ""buy"" rating in a research note issued on Tuesday, Zacks.com...",0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2021-02-25,A Square Stock Deal Is Emerging,"A Square Stock Deal Is Emerging SQ Square Rides Bitcoin To Triple-Digit Growth Square (NASDAQ:SQ) is an up-and-coming fintech that is benefiting greatly from the shift to eCommerce spurred by the pandemic, and from renewed interest in cryptocurrency...",0.6808,0.138,0.862,0.0,0.0,0.0,1.0,0.0
2021-02-26,It’s Okay to Take the Over on DraftKings Stock,It’s Okay to Take the Over on DraftKings Stock DKNG DraftKings (NASDAQ:DKNG) may have picked the wrong day to deliver a stellar earnings report. The online sports betting company delivered a sound beat on both the top and bottom lines before the ma...,-0.1027,0.083,0.848,0.069,0.2263,0.192,0.808,0.0
2021-02-27,MarketBeat: Week in Review 2/22 – 2/26,MarketBeat: Week in Review 2/22 – 2/26 Bond yields went up. Bitcoin went down and tech stocks along with the cryptocurrency. Interest rates will stay the same for as long as it takes. GameStop (NYSE:GME) became a thing again. And the stimulus pack...,0.4588,0.07,0.93,0.0,0.0,0.0,1.0,0.0
2021-03-04,3 More Reason’s Ethereum’s (ETH) Bull Market Is Far From Over,"3 More Reason’s Ethereum’s (ETH) Bull Market Is Far From Over Ethereum Enters Bear Market! Oh No! After correcting more than 36% and entering a deep bear-market many traders and investors are wondering if Ethereum’s (ETH) run is over. Well,...",-0.4184,0.0,0.93,0.07,0.0,0.0,1.0,0.0
2021-03-22,Canaan Stock is an Alternative Way to Trade Bitcoin (BTC),Canaan Stock is an Alternative Way to Trade Bitcoin (BTC) CAN Cryptocurrency mining equipment maker Canaan (NASDAQ: CAN) stock has exploded in 2021 as traders piled into this stock with the surge in Bitcoin (BTC) and cryptocurrency prices. Unlike b...,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2021-04-01,"Six (6) Reasons Why Bitcoin Will Hit $90,000 This Year ","Six (6) Reasons Why Bitcoin Will Hit $90,000 This Year  Call Us Crazy But Bitcoin Will Probably Blow Past $70,000 As crazy as it may sound, especially when looking at Bitcoin’s (BTC) meteoric rise over the past year, but we think there is a...",-0.5859,0.0,0.897,0.103,0.0,0.0,1.0,0.0
2021-04-24,"Bitcoin Corrects 27%, Oh No! (or Why It’s Time To Buy Bitcoin)","Bitcoin Corrects 27%, Oh No! (or Why It’s Time To Buy Bitcoin) BTC Time To Start Buying Bitcoin Again  With Bitcoin down more than 25%, we’re sure there are no few Bitcoin (CRYPTO: BTC) holders wondering if this is the beginning of the ...",-0.3382,0.048,0.854,0.098,-0.3595,0.0,0.815,0.185
2021-06-01,QUALCOMM Incorporated (NASDAQ:QCOM) Short Interest Up 29.5% in May,"QUALCOMM Incorporated (NASDAQ:QCOM) Short Interest Up 29.5% in May QCOM QUALCOMM Incorporated (NASDAQ:QCOM) was the recipient of a significant growth in short interest in May. As of May 14th, there was short interest totalling 21,650,000 shares, a g...",0.9274,0.342,0.658,0.0,0.4588,0.273,0.727,0.0
2021-06-06,"$4.86 Billion in Sales Expected for Square, Inc. (NYSE:SQ) This Quarter","$4.86 Billion in Sales Expected for Square, Inc. (NYSE:SQ) This Quarter SQ Equities research analysts expect Square, Inc. (NYSE:SQ) to report sales of $4.86 billion for the current quarter, Zacks reports. Ten analysts have made estimates for Square's...",0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2021-07-14,"$40.05 Million in Sales Expected for Marathon Digital Holdings, Inc. (NASDAQ:MARA) This Quarter","$40.05 Million in Sales Expected for Marathon Digital Holdings, Inc. (NASDAQ:MARA) This Quarter MARA Equities analysts expect that Marathon Digital Holdings, Inc. (NASDAQ:MARA) will report sales of $40.05 million for the current quarter, according to...",0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2021-08-05,"Analysts Anticipate Marathon Digital Holdings, Inc. (NASDAQ:MARA) Will Announce Quarterly Sales of $40.05 Million","Analysts Anticipate Marathon Digital Holdings, Inc. (NASDAQ:MARA) Will Announce Quarterly Sales of $40.05 Million MARA Brokerages forecast that Marathon Digital Holdings, Inc. (NASDAQ:MARA) will report sales of $40.05 million for the current quarter...",0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2021-08-09,Why You Might Want to Look into Cryptocurrencies to Build Long-Term Wealth (and Why You Might Not),Why You Might Want to Look into Cryptocurrencies to Build Long-Term Wealth (and Why You Might Not) Think you might want to invest in cryptocurrency? It should be a part of your portfolio: 1. As long as you can afford to lose the money you invest a...,0.2732,0.115,0.832,0.053,0.5423,0.231,0.769,0.0
2021-08-27,7 Stocks That Can Withstand a Taper Tantrum,"7 Stocks That Can Withstand a Taper Tantrum KLA Corporation The first stock on our list is KLA Corporation (NASDAQ: KLAC). This is a stock that certainly checks the box on Return on Equity. In its last quarter, KLA recorded an ROE of 68.1%. The compa...",-0.1027,0.052,0.887,0.061,-0.4215,0.0,0.641,0.359
2021-09-17,"Marathon Digital (NASDAQ:MARA) Upgraded to ""Strong-Buy"" at Zacks Investment Research","Marathon Digital (NASDAQ:MARA) Upgraded to ""Strong-Buy"" at Zacks Investment Research MARA Marathon Digital (NASDAQ:MARA) was upgraded by Zacks Investment Research from a ""hold"" rating to a ""strong-buy"" rating in a note issued to investors on Friday, ...",0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2021-10-01,"$89.30 Million in Sales Expected for Marathon Digital Holdings, Inc. (NASDAQ:MARA) This Quarter","$89.30 Million in Sales Expected for Marathon Digital Holdings, Inc. (NASDAQ:MARA) This Quarter MARA Equities analysts expect that Marathon Digital Holdings, Inc. (NASDAQ:MARA) will post $89.30 million in sales for the current fiscal quarter, Zacks r...",0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2021-10-13,"B. Riley Weighs in on Marathon Digital Holdings, Inc.'s Q3 2021 Earnings (NASDAQ:MARA)","B. Riley Weighs in on Marathon Digital Holdings, Inc.'s Q3 2021 Earnings (NASDAQ:MARA) MARA 3 Stocks to Watch that Offer Exposure to CryptocurrenciesMarathon Digital Holdings, Inc. (NASDAQ:MARA) - Investment analysts at B. Riley cut their Q3 2021 EP...",-0.2732,0.0,0.943,0.057,0.0,0.0,1.0,0.0
2021-10-15,3 Cryptocurrency Comeback Stocks to Buy Now,"3 Cryptocurrency Comeback Stocks to Buy Now HUT After taking a major downturn in the summer, cryptocurrencies have been bouncing back in a big way throughout October and proving that investors still have an appetite for these high-flying and volatile...",0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2021-10-21,"Marathon Digital Holdings, Inc. (NASDAQ:MARA) Expected to Post Quarterly Sales of $75.05 Million","Marathon Digital Holdings, Inc. (NASDAQ:MARA) Expected to Post Quarterly Sales of $75.05 Million MARA Analysts expect Marathon Digital Holdings, Inc. (NASDAQ:MARA) to report $75.05 million in sales for the current quarter, Zacks Investment Research r...",0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2021-11-08,"Zacks: Brokerages Expect Marathon Digital Holdings, Inc. (NASDAQ:MARA) Will Post Quarterly Sales of $75.05 Million","Zacks: Brokerages Expect Marathon Digital Holdings, Inc. (NASDAQ:MARA) Will Post Quarterly Sales of $75.05 Million MARA Wall Street brokerages forecast that Marathon Digital Holdings, Inc. (NASDAQ:MARA) will announce $75.05 million in sales for the c...",0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2021-11-12,Marathon Digital (NASDAQ:MARA) Shares Down 12.2% on Disappointing Earnings,"Marathon Digital (NASDAQ:MARA) Shares Down 12.2% on Disappointing Earnings MARA Marathon Digital Holdings, Inc. (NASDAQ:MARA) shares fell 12.2% during trading on Wednesday after the company announced weaker than expected quarterly earnings. The com...",-0.4019,0.111,0.734,0.154,-0.25,0.177,0.565,0.258
2021-11-18,"Zacks Investment Research Upgrades Marathon Digital (NASDAQ:MARA) to ""Strong-Buy""","Zacks Investment Research Upgrades Marathon Digital (NASDAQ:MARA) to ""Strong-Buy"" MARA Marathon Digital (NASDAQ:MARA) was upgraded by Zacks Investment Research from a ""hold"" rating to a ""strong-buy"" rating in a research note issued to investors on Th...",0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2021-11-20,"Marathon Digital Holdings, Inc. (NASDAQ:MARA) to Post Q1 2022 Earnings of $1.03 Per Share, B. Riley Forecasts","Marathon Digital Holdings, Inc. (NASDAQ:MARA) to Post Q1 2022 Earnings of $1.03 Per Share, B. Riley Forecasts MARA 3 Stocks to Watch that Offer Exposure to CryptocurrenciesMarathon Digital Holdings, Inc. (NASDAQ:MARA) - Equities researchers at B. Ri...",0.296,0.061,0.939,0.0,0.296,0.121,0.879,0.0
2021-11-27,"Brokerages Anticipate Marathon Digital Holdings, Inc. (NASDAQ:MARA) Will Announce Quarterly Sales of $133.85 Million","Brokerages Anticipate Marathon Digital Holdings, Inc. (NASDAQ:MARA) Will Announce Quarterly Sales of $133.85 Million MARA Wall Street brokerages expect Marathon Digital Holdings, Inc. (NASDAQ:MARA) to announce $133.85 million in sales for the curren...",0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2021-12-16,Marathon Digital (NASDAQ:MARA) Rating Lowered to Hold at Zacks Investment Research,"Marathon Digital (NASDAQ:MARA) Rating Lowered to Hold at Zacks Investment Research MARA Marathon Digital (NASDAQ:MARA) was downgraded by Zacks Investment Research from a ""buy"" rating to a ""hold"" rating in a research report issued on Thursday, Zacks.c...",-0.128,0.0,0.957,0.043,-0.128,0.0,0.87,0.13
2021-12-18,"Zacks: Analysts Expect Marathon Digital Holdings, Inc. (NASDAQ:MARA) Will Announce Quarterly Sales of $133.85 Million","Zacks: Analysts Expect Marathon Digital Holdings, Inc. (NASDAQ:MARA) Will Announce Quarterly Sales of $133.85 Million MARA Wall Street brokerages forecast that Marathon Digital Holdings, Inc. (NASDAQ:MARA) will post $133.85 million in sales for the c...",0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2021-12-22,"FY2022 Earnings Forecast for Marathon Digital Holdings, Inc. Issued By DA Davidson (NASDAQ:MARA)","FY2022 Earnings Forecast for Marathon Digital Holdings, Inc. Issued By DA Davidson (NASDAQ:MARA) MARA 3 Stocks to Watch that Offer Exposure to CryptocurrenciesMarathon Digital Holdings, Inc. (NASDAQ:MARA) - Investment analysts at DA Davidson upped t...",0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2022-01-05,Marathon Digital (NASDAQ:MARA) PT Lowered to $74.00 at B. Riley,"Marathon Digital (NASDAQ:MARA) PT Lowered to $74.00 at B. Riley MARA Marathon Digital (NASDAQ:MARA) had its price target cut by investment analysts at B. Riley from $92.00 to $74.00 in a research report issued on Wednesday, The Fly reports. B. Riley...",-0.3818,0.0,0.913,0.087,-0.128,0.0,0.857,0.143
2022-01-07,"$85.75 Million in Sales Expected for Marathon Digital Holdings, Inc. (NASDAQ:MARA) This Quarter","$85.75 Million in Sales Expected for Marathon Digital Holdings, Inc. (NASDAQ:MARA) This Quarter MARA Wall Street brokerages expect Marathon Digital Holdings, Inc. (NASDAQ:MARA) to post sales of $85.75 million for the current fiscal quarter, Zacks rep...",0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2022-01-07,"B. Riley Comments on Marathon Digital Holdings, Inc.'s FY2021 Earnings (NASDAQ:MARA)","B. Riley Comments on Marathon Digital Holdings, Inc.'s FY2021 Earnings (NASDAQ:MARA) MARA 3 Stocks to Watch that Offer Exposure to CryptocurrenciesMarathon Digital Holdings, Inc. (NASDAQ:MARA) - Equities researchers at B. Riley decreased their FY202...",0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2022-01-10,"FY2022 Earnings Estimate for Marathon Digital Holdings, Inc. (NASDAQ:MARA) Issued By DA Davidson","FY2022 Earnings Estimate for Marathon Digital Holdings, Inc. (NASDAQ:MARA) Issued By DA Davidson MARA 3 Stocks to Watch that Offer Exposure to CryptocurrenciesMarathon Digital Holdings, Inc. (NASDAQ:MARA) - Research analysts at DA Davidson upped the...",0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2022-01-18,Marathon Digital (NASDAQ:MARA) Coverage Initiated by Analysts at BTIG Research,"Marathon Digital (NASDAQ:MARA) Coverage Initiated by Analysts at BTIG Research MARA Equities research analysts at BTIG Research initiated coverage on shares of Marathon Digital (NASDAQ:MARA) in a research note issued on Tuesday, The Fly reports. The ...",0.296,0.059,0.941,0.0,0.0,0.0,1.0,0.0
2022-01-18,"Marathon Digital Holdings, Inc. (NASDAQ:MARA) Receives Consensus Rating of ""Buy"" from Brokerages","Marathon Digital Holdings, Inc. (NASDAQ:MARA) Receives Consensus Rating of ""Buy"" from Brokerages MARA Shares of Marathon Digital Holdings, Inc. (NASDAQ:MARA) have been given a consensus recommendation of ""Buy"" by the six brokerages that are currently...",0.296,0.062,0.937,0.0,0.0,0.0,1.0,0.0
2022-01-21,"FY2022 EPS Estimates for Marathon Digital Holdings, Inc. Decreased by DA Davidson (NASDAQ:MARA)","FY2022 EPS Estimates for Marathon Digital Holdings, Inc. Decreased by DA Davidson (NASDAQ:MARA) MARA 3 Stocks to Watch that Offer Exposure to CryptocurrenciesMarathon Digital Holdings, Inc. (NASDAQ:MARA) - Research analysts at DA Davidson cut their ...",-0.2732,0.0,0.94,0.06,0.0,0.0,1.0,0.0
2022-01-28,Marathon Digital (NASDAQ:MARA) Earns Buy Rating from Analysts at Jefferies Financial Group,"Marathon Digital (NASDAQ:MARA) Earns Buy Rating from Analysts at Jefferies Financial Group MARA Equities researchers at Jefferies Financial Group started coverage on shares of Marathon Digital (NASDAQ:MARA) in a report issued on Friday, The Fly repor...",0.296,0.061,0.939,0.0,0.0,0.0,1.0,0.0
2022-01-28,"$60.50 Million in Sales Expected for Marathon Digital Holdings, Inc. (NASDAQ:MARA) This Quarter","$60.50 Million in Sales Expected for Marathon Digital Holdings, Inc. (NASDAQ:MARA) This Quarter MARA Wall Street brokerages expect Marathon Digital Holdings, Inc. (NASDAQ:MARA) to report sales of $60.50 million for the current quarter, according to Z...",0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2022-02-09,"B. Riley Analysts Cut Earnings Estimates for Marathon Digital Holdings, Inc. (NASDAQ:MARA)","B. Riley Analysts Cut Earnings Estimates for Marathon Digital Holdings, Inc. (NASDAQ:MARA) MARA 3 Stocks to Watch that Offer Exposure to CryptocurrenciesMarathon Digital Holdings, Inc. (NASDAQ:MARA) - Research analysts at B. Riley decreased their Q1...",-0.2732,0.0,0.938,0.062,-0.2732,0.0,0.84,0.16
2022-02-16,"Marathon Digital Holdings, Inc. (NASDAQ:MARA) Expected to Announce Quarterly Sales of $60.23 Million","Marathon Digital Holdings, Inc. (NASDAQ:MARA) Expected to Announce Quarterly Sales of $60.23 Million MARA Analysts predict that Marathon Digital Holdings, Inc. (NASDAQ:MARA) will announce sales of $60.23 million for the current fiscal quarter, accord...",0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2022-02-21,"Marathon Digital Holdings, Inc. Expected to Earn Q4 2021 Earnings of $0.39 Per Share (NASDAQ:MARA)","Marathon Digital Holdings, Inc. Expected to Earn Q4 2021 Earnings of $0.39 Per Share (NASDAQ:MARA) MARA 3 Stocks to Watch that Offer Exposure to CryptocurrenciesMarathon Digital Holdings, Inc. (NASDAQ:MARA) - Investment analysts at DA Davidson issue...",0.296,0.062,0.937,0.0,0.296,0.136,0.864,0.0
2022-02-24,Canaan (CAN) Scheduled to Post Earnings on Thursday,"Canaan (CAN) Scheduled to Post Earnings on Thursday CAN Canaan (NASDAQ:CAN - Get Rating) is scheduled to announce its earnings results before the market opens on Thursday, March 3rd. Investors that wish to listen to the company's conference call can...",0.4019,0.066,0.934,0.0,0.0,0.0,1.0,0.0
2022-02-28,"Russian Sanctions Roil Markets, Gold Rises ","Russian Sanctions Roil Markets, Gold Rises  GLD Russia Cut Off From Global Economy, Dollar Steadies  World leaders have moved to cut Russia off from the global economy and monetary system due to the incursion into Ukraine. The moves include a...",-0.4939,0.0,0.9,0.1,0.0,0.0,1.0,0.0
2022-03-07,"B. Riley Weighs in on Marathon Digital Holdings, Inc.'s FY2022 Earnings (NASDAQ:MARA)","B. Riley Weighs in on Marathon Digital Holdings, Inc.'s FY2022 Earnings (NASDAQ:MARA) MARA 3 Stocks to Watch that Offer Exposure to CryptocurrenciesMarathon Digital Holdings, Inc. (NASDAQ:MARA - Get Rating) - B. Riley lowered their FY2022 EPS estima...",-0.128,0.0,0.957,0.043,0.0,0.0,1.0,0.0
2022-03-08,Marathon Digital (NASDAQ:MARA) Price Target Raised to $66.00,"Marathon Digital (NASDAQ:MARA) Price Target Raised to $66.00 MARA Marathon Digital (NASDAQ:MARA - Get Rating) had its price target upped by research analysts at Compass Point from $48.00 to $66.00 in a research note issued to investors on Tuesday, B...",0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2022-03-08,Canaan Inc. (NASDAQ:CAN) Short Interest Update,"Canaan Inc. (NASDAQ:CAN) Short Interest Update CAN Canaan Inc. (NASDAQ:CAN - Get Rating) was the target of a large drop in short interest during the month of February. As of February 15th, there was short interest totalling 5,360,000 shares, a drop ...",0.7906,0.231,0.682,0.087,0.4588,0.375,0.625,0.0
2022-03-09,"Analysts Expect Marathon Digital Holdings, Inc. (NASDAQ:MARA) Will Post Quarterly Sales of $87.50 Million","Analysts Expect Marathon Digital Holdings, Inc. (NASDAQ:MARA) Will Post Quarterly Sales of $87.50 Million MARA Analysts forecast that Marathon Digital Holdings, Inc. (NASDAQ:MARA - Get Rating) will report $87.50 million in sales for the current quar...",0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
