date,12 period EMA,title_neu,r2,y_test,predictions,daily returns,model returns
2021-12-21,47320.263450567676,0.0,47893.04229333334,-1.0,1.0,0.042113511144609594,
2021-12-22,47603.19012954197,1.0,49950.903946666665,1.0,1.0,-0.00617142034302387,-0.00617142034302387
2021-12-23,48278.41412555405,0.0,49575.38601333334,-1.0,1.0,0.04632095555789717,0.04632095555789717
2021-12-24,48781.230274119654,0.0,52179.67377333333,-1.0,1.0,-0.00036999292469663825,-0.00036999292469663825
2021-12-25,49087.92207818033,0.0,51885.81226,1.0,1.0,-0.008271153089334793,-0.008271153089334793
2021-12-26,49396.70631773672,0.0,51192.66638000001,-1.0,1.0,0.007456994749567736,0.007456994749567736
2021-12-27,49628.68368318568,0.0,51643.58733333333,-1.0,1.0,-0.0014583808053845182,-0.0014583808053845182
2021-12-28,49266.65825385199,0.0,52092.382000000005,-1.0,1.0,-0.06228028237462302,-0.06228028237462302
2021-12-29,48789.567414004305,0.0,50615.92938666666,1.0,1.0,-0.022696573723480662,-0.022696573723480662
2021-12-30,48510.03203005579,0.0,48162.254953333344,-1.0,1.0,0.014122776320756536,0.014122776320756536
2021-12-31,48131.07883950023,0.0,48209.62333333333,1.0,1.0,-0.01918343188485272,-0.01918343188485272
2022-01-01,48064.34430997315,0.0,48588.21734666667,-1.0,1.0,0.032579403261964845,0.032579403261964845
2022-01-02,47938.3998953369,0.0,48374.40534666667,-1.0,1.0,-0.009145971566960398,-0.009145971566960398
2022-01-03,47698.7913281761,0.0,48135.708,-1.0,1.0,-0.01776586732106511,-0.01776586732106511
2022-01-04,47401.05472810004,0.0,47728.832,-1.0,1.0,-0.013221562197902492,-0.013221562197902492
2022-01-05,46774.61029805144,0.857,47568.07638666667,-1.0,1.0,-0.0519479726069183,-0.0519479726069183
2022-01-06,46191.7928267024,0.0,47164.63666666667,-1.0,1.0,-0.008488156694659077,-0.008488156694659077
2022-01-07,45464.61152599853,1.0,43965.819559999996,1.0,1.0,-0.0351845107655554,-0.0351845107655554
2022-01-08,44871.56204670341,0.0,43341.24627333333,1.0,1.0,0.002724791707163998,0.002724791707163998
2022-01-09,44401.74176157043,0.0,42605.361999999994,-1.0,1.0,0.004435728245905768,0.004435728245905768
2022-01-10,43999.71052858724,1.0,42931.01490666666,1.0,1.0,-0.0010063390041520348,-0.0010063390041520348
2022-01-11,43802.088680690715,0.0,42846.202999999994,1.0,1.0,0.021682114096984728,0.021682114096984728
2022-01-12,43817.70646969443,0.0,43497.67459333334,-1.0,1.0,0.027460554575093665,0.027460554575093665
2022-01-13,43622.69515305171,0.0,44715.116,1.0,1.0,-0.03058015163545902,-0.03058015163545902
2022-01-14,43535.54005346374,0.0,44476.44270666666,1.0,1.0,0.011744565509816507,0.011744565509816507
2022-01-15,43465.72352008241,0.0,43809.60560666667,-1.0,1.0,0.0005650260706233645,0.0005650260706233645
2022-01-16,43404.807889057425,0.0,43915.840000000004,-1.0,1.0,-0.0002931462953200681,-0.0002931462953200681
2022-01-17,43218.952158960135,0.0,43594.82044666667,1.0,1.0,-0.020199825128634497,-0.020199825128634497
2022-01-18,43085.13650411129,1.0,43316.973013333336,-1.0,1.0,0.003566213808853691,0.003566213808853691
2022-01-19,42865.25105420314,0.0,42988.244666666666,-1.0,1.0,-0.01634180296051302,-0.01634180296051302
2022-01-20,42528.375117756725,0.0,42663.81226,-1.0,1.0,-0.023502154704235556,-0.023502154704235556
2022-01-21,41590.57924997249,1.0,43403.88442,-1.0,1.0,-0.10411763158690412,-0.10411763158690412
2022-01-22,40585.87328944321,0.0,41159.5219,1.0,1.0,-0.03769730590849685,-0.03769730590849685
2022-01-23,39916.98684882556,0.0,37052.10196,1.0,1.0,0.033449743409305954,0.033449743409305954
2022-01-24,39415.337195951186,0.0,36954.47782,1.0,1.0,0.011472069593911227,0.011472069593911227
2022-01-25,39036.93333445471,0.0,38572.262273333334,-1.0,1.0,0.008127854753159802,0.008127854753159802
2022-01-26,38693.91892733793,0.0,37874.49852,1.0,1.0,-0.004031027384361674,-0.004031027384361674
2022-01-27,38457.76751291818,0.0,38980.86296666667,1.0,1.0,0.009529103211304513,0.009529103211304513
2022-01-28,38343.66229254832,1.0,37701.43028000001,1.0,1.0,0.01497466368497391,0.01497466368497391
2022-01-29,38316.444069125166,0.0,38430.72715333334,-1.0,1.0,0.011938522495158699,0.011938522495158699
2022-01-30,38249.538826813,0.0,38949.52806666666,1.0,1.0,-0.0074693110564038045,-0.0074693110564038045
2022-01-31,38282.99202566387,0.0,38486.93200666667,1.0,1.0,0.015446484007078931,0.015446484007078931
2022-02-01,38346.33564886061,0.0,39252.67568666667,-1.0,1.0,0.005919114875386322,0.005919114875386322
2022-02-02,38123.200301423436,0.0,39435.156933333325,1.0,1.0,-0.046472388000493026,-0.046472388000493026
2022-02-03,37998.310811340365,0.0,38848.63346,1.0,1.0,0.011254497733651725,0.011254497733651725
2022-02-04,38548.56507082268,0.0,37685.536,-1.0,1.0,0.11424433306415893,0.11424433306415893
2022-02-05,38984.64251474411,0.0,43057.21746666667,1.0,1.0,-0.004610065124446061,-0.004610065124446061
2022-02-06,39507.21368895405,0.0,42041.44357333334,1.0,1.0,0.02412318803632174,0.02412318803632174
2022-02-07,40173.87522914428,0.0,43002.51725333333,1.0,1.0,0.03442874108058658,0.03442874108058658
2022-02-08,40769.18453281306,0.0,45092.9537,1.0,1.0,0.004630475508776266,0.004630475508776266
2022-02-09,41323.622579763236,0.84,45813.46466666667,-1.0,1.0,0.007486548937753801,0.007486548937753801
2022-02-10,41657.77280220196,0.0,45135.45410666667,-1.0,1.0,-0.01977070596528674,-0.01977070596528674
2022-02-11,41767.92688776144,0.0,45799.32315333334,-1.0,1.0,-0.025789140194926174,-0.025789140194926174
2022-02-12,41837.152533951106,0.0,43968.64082000001,-1.0,1.0,-0.003678222332563097,-0.003678222332563097
2022-02-13,41870.46285242003,0.0,43188.143646666664,1.0,1.0,-0.0038895851448687013,-0.0038895851448687013
2022-02-14,41972.847794826586,0.0,42777.90666666666,1.0,1.0,0.01146820514552127,0.01146820514552127
2022-02-15,42368.55454725185,0.0,43107.99045333333,-1.0,1.0,0.04722876701443535,0.04722876701443535
2022-02-16,42600.10006988024,1.0,45344.22399333333,-1.0,1.0,-0.015070201141052064,-0.015070201141052064
2022-02-17,42279.415844249954,0.0,44678.33212666667,-1.0,1.0,-0.07653493356819008,-0.07653493356819008
2022-02-18,41924.79735301941,0.0,44113.087,1.0,1.0,-0.013359265667383102,-0.013359265667383102
2022-02-19,41640.850060645505,0.0,41061.21250666666,-1.0,1.0,0.0026199241315199018,0.0026199241315199018
2022-02-20,41140.23392434148,0.0,40551.842553333336,-1.0,1.0,-0.042223429277602254,-0.042223429277602254
2022-02-21,40504.522833738156,0.864,40150.965253333336,1.0,1.0,-0.035916689265527824,-0.035916689265527824
2022-02-22,40154.64356234406,0.0,39432.611633333334,-1.0,1.0,0.03302433841617636,0.03302433841617636
2022-02-23,39707.77313107974,0.0,38954.598666666665,1.0,1.0,-0.025642467642837508,-0.025642467642837508
2022-02-24,39495.3773033686,1.0,39213.29718666667,1.0,1.0,0.02891811304211722,0.02891811304211722
2022-02-25,39452.88361817314,0.0,40909.30162666667,-1.0,1.0,0.02327223922638777,0.02327223922638777
2022-02-26,39401.165876972766,0.0,40003.89754666667,-1.0,1.0,-0.0026122429413982795,-0.0026122429413982795
2022-02-27,39139.30385255196,0.0,40443.23352666666,1.0,1.0,-0.03624153558887355,-0.03624153558887355
2022-02-28,39757.87472980309,1.0,39949.74593333333,1.0,1.0,0.14485582800848928,0.14485582800848928
2022-03-01,40475.31158427718,0.0,45799.367393333334,-1.0,1.0,0.029221501390175986,0.029221501390175986
2022-03-02,41001.10808790803,0.0,45381.97435999999,-1.0,1.0,-0.011891169081429398,-0.011891169081429398
2022-03-03,41224.63041073255,0.0,45485.75571333334,-1.0,1.0,-0.032783830124999525,-0.032783830124999525
2022-03-04,40905.24975488253,0.0,44197.943119999996,1.0,1.0,-0.07785697460781071,-0.07785697460781071
2022-03-05,40673.35865925374,0.0,42533.2914,-1.0,1.0,0.006368034052761873,0.006368034052761873
2022-03-06,40326.81225125287,0.0,39884.688366666654,-1.0,1.0,-0.024802045588147248,-0.024802045588147248
2022-03-07,39966.99457732073,1.0,39726.492066666666,1.0,1.0,-0.011264988947395915,-0.011264988947395915
2022-03-08,39776.784461410956,1.0,39708.79826,1.0,1.0,0.019549068126776703,0.019549068126776703
2022-03-09,40109.85019697206,1.0,39577.01107333334,-1.0,1.0,0.08290802395933139,0.08290802395933139
