date,VWAP.,pivot,4 period SMA,y_test,predictions,daily returns,model returns
2021-12-21,47234.07062887655,46670.193333333336,47329.9375,-1.0,-1.0,0.042113511144609594,
2021-12-22,47425.255646971054,48282.94666666666,47768.3575,1.0,-1.0,-0.00617142034302387,0.00617142034302387
2021-12-23,47772.94619555297,48862.05333333334,48807.7525,-1.0,-1.0,0.04632095555789717,-0.04632095555789717
2021-12-24,48117.93531124455,50044.743333333325,49784.212499999994,-1.0,-1.0,-0.00036999292469663825,0.00036999292469663825
2021-12-25,48266.20209306309,51004.81,50161.6575,1.0,-1.0,-0.008271153089334793,0.008271153089334793
2021-12-26,48414.407737237976,50566.07000000001,50708.490000000005,-1.0,-1.0,0.007456994749567736,-0.007456994749567736
2021-12-27,48623.249473154625,50489.16333333333,50674.14750000001,-1.0,-1.0,-0.0014583808053845182,0.0014583808053845182
2021-12-28,48611.82040990336,51079.48,49855.082500000004,-1.0,-1.0,-0.06228028237462302,0.06228028237462302
2021-12-29,48462.470865058654,48520.26666666666,48871.3325,1.0,-1.0,-0.022696573723480662,0.022696573723480662
2021-12-30,48368.91332498641,46900.24333333334,47957.6775,-1.0,-1.0,0.014122776320756536,-0.014122776320756536
2021-12-31,48264.05549981666,46973.62333333333,46836.55,1.0,-1.0,-0.01918343188485272,0.01918343188485272
2022-01-01,48228.72258374826,46814.39666666667,46881.277500000004,-1.0,-1.0,0.032579403261964845,-0.032579403261964845
2022-01-02,48198.413754347595,47295.21666666667,47086.6575,-1.0,-1.0,-0.009145971566960398,0.009145971566960398
2022-01-03,48121.25675049539,47310.06,46917.965000000004,-1.0,-1.0,-0.01776586732106511,0.01776586732106511
2022-01-04,48016.6413188132,46570.700000000004,46821.735,-1.0,-1.0,-0.013221562197902492,0.013221562197902492
2022-01-05,47732.858823972696,46296.51666666667,45753.854999999996,-1.0,-1.0,-0.0519479726069183,0.0519479726069183
2022-01-06,47479.58537144273,44340.37666666667,44702.8875,-1.0,-1.0,-0.008488156694659077,0.008488156694659077
2022-01-07,47070.368639461645,43109.63,43482.9825,1.0,-1.0,-0.0351845107655554,0.0351845107655554
2022-01-08,46839.93775900919,41774.10333333333,42444.915,1.0,-1.0,0.002724791707163998,-0.002724791707163998
2022-01-09,46704.47522923992,41493.579999999994,42048.2875,-1.0,-1.0,0.004435728245905768,-0.004435728245905768
2022-01-10,46386.21591754223,41950.44666666666,41733.3325,1.0,-1.0,-0.0010063390041520348,0.0010063390041520348
2022-01-11,46221.133931730474,41240.329999999994,42024.035,1.0,-1.0,0.021682114096984728,-0.021682114096984728
2022-01-12,46125.20104526704,42366.073333333334,42579.765,-1.0,-1.0,0.027460554575093665,-0.027460554575093665
2022-01-13,46017.96424345864,43558.22,42753.6375,1.0,-1.0,-0.03058015163545902,0.03058015163545902
2022-01-14,45912.16031459422,43123.776666666665,43063.005000000005,1.0,-1.0,0.011744565509816507,-0.011744565509816507
2022-01-15,45853.35458653786,42744.89666666667,43151.755000000005,-1.0,-1.0,0.0005650260706233645,-0.0005650260706233645
2022-01-16,45798.3282859015,43146.43,42944.005000000005,-1.0,-1.0,-0.0002931462953200681,0.0002931462953200681
2022-01-17,45709.192261191325,43042.81666666667,42854.3825,1.0,-1.0,-0.020199825128634497,0.020199825128634497
2022-01-18,45613.712942929604,42306.073333333334,42677.4225,-1.0,-1.0,0.003566213808853691,-0.003566213808853691
2022-01-19,45507.40131522789,42097.706666666665,42321.3525,-1.0,-1.0,-0.01634180296051302,0.01634180296051302
2022-01-20,45366.883941862085,41785.9,41723.665,-1.0,-1.0,-0.023502154704235556,0.023502154704235556
2022-01-21,44828.64438614344,41579.74,40284.5875,-1.0,-1.0,-0.10411763158690412,0.10411763158690412
2022-01-22,44196.26899509078,37661.92,38464.4125,1.0,-1.0,-0.03769730590849685,0.03769730590849685
2022-01-23,43931.41279989453,35304.88,37110.5475,1.0,-1.0,0.033449743409305954,-0.033449743409305954
2022-01-24,43427.203909691656,35781.520000000004,36105.4075,1.0,-1.0,0.011472069593911227,-0.011472069593911227
2022-01-25,43214.352229581615,35709.17333333333,36233.659999999996,-1.0,-1.0,0.008127854753159802,-0.008127854753159802
2022-01-26,42959.98295885176,36734.82,36668.14,1.0,-1.0,-0.004031027384361674,0.004031027384361674
2022-01-27,42759.23007076223,37321.316666666666,36897.0275,1.0,-1.0,0.009529103211304513,-0.009529103211304513
2022-01-28,42624.64958068005,36633.86000000001,37161.08,1.0,-1.0,0.01497466368497391,-0.01497466368497391
2022-01-29,42555.94598303117,37290.52333333334,37463.20999999999,-1.0,-1.0,0.011938522495158699,-0.011938522495158699
2022-01-30,42498.83355317304,38052.00666666666,37731.314999999995,1.0,-1.0,-0.0074693110564038045,0.0074693110564038045
2022-01-31,42405.51456257562,37864.21666666667,38058.015,1.0,-1.0,0.015446484007078931,-0.015446484007078931
2022-02-01,42334.697731988395,37947.83666666667,38302.5225,-1.0,-1.0,0.005919114875386322,-0.005919114875386322
2022-02-02,42241.01476169976,38653.26333333333,37984.9025,1.0,-1.0,-0.046472388000493026,0.046472388000493026
2022-02-03,42152.22334290445,37446.409999999996,37842.365,1.0,-1.0,0.011254497733651725,-0.011254497733651725
2022-02-04,42085.43552351685,36982.87,38619.2025,-1.0,-1.0,0.11424433306415893,-0.11424433306415893
2022-02-05,42073.939980318624,40124.43666666667,39291.2025,1.0,-1.0,-0.004610065124446061,0.004610065124446061
2022-02-06,42073.687059240416,41379.763333333336,40662.33,1.0,-1.0,0.02412318803632174,-0.02412318803632174
2022-02-07,42104.63868770095,42051.14333333333,42294.425,1.0,-1.0,0.03442874108058658,-0.03442874108058658
2022-02-08,42164.26153040771,43328.78,42911.61,1.0,-1.0,0.004630475508776266,-0.004630475508776266
2022-02-09,42194.92071741005,44066.996666666666,43659.1425,-1.0,-1.0,0.007486548937753801,-0.007486548937753801
2022-02-10,42249.913669429814,44096.54666666667,43937.785,-1.0,-1.0,-0.01977070596528674,0.01977070596528674
2022-02-11,42259.67374332227,44163.48333333334,43571.22,-1.0,-1.0,-0.025789140194926174,0.025789140194926174
2022-02-12,42260.47000552285,42744.08000000001,43114.94,-1.0,-1.0,-0.003678222332563097,0.003678222332563097
2022-02-13,42260.22112159908,42328.746666666666,42535.175,1.0,-1.0,-0.0038895851448687013,0.0038895851448687013
2022-02-14,42260.934578441695,42227.886666666665,42295.3,1.0,-1.0,0.01146820514552127,-0.01146820514552127
2022-02-15,42287.14512266363,42309.63333333333,42838.082500000004,-1.0,-1.0,0.04722876701443535,-0.04722876701443535
2022-02-16,42306.224527609156,43907.76333333333,43252.005000000005,-1.0,-1.0,-0.015070201141052064,0.015070201141052064
2022-02-17,42292.41610458355,43910.176666666666,42867.515,-1.0,-1.0,-0.07653493356819008,0.07653493356819008
2022-02-18,42254.655728800055,41584.54,42227.14,1.0,-1.0,-0.013359265667383102,0.013359265667383102
2022-02-19,42238.97071465154,40128.10666666667,41110.7175,-1.0,-1.0,0.0026199241315199018,-0.0026199241315199018
2022-02-20,42194.61882735863,40054.17333333333,39739.049999999996,-1.0,-1.0,-0.042223429277602254,0.042223429277602254
2022-02-21,42089.54598864781,38837.443333333336,38862.165,1.0,-1.0,-0.035916689265527824,0.035916689265527824
2022-02-22,42000.868080028675,37767.503333333334,38426.137500000004,-1.0,-1.0,0.03302433841617636,-0.03302433841617636
2022-02-23,41934.42598713759,37669.776666666665,37718.8475,1.0,-1.0,-0.025642467642837508,0.025642467642837508
2022-02-24,41746.52134738898,37845.57666666667,37703.927500000005,1.0,-1.0,0.02891811304211722,-0.02891811304211722
2022-02-25,41692.42664447804,37497.496666666666,38256.68,-1.0,-1.0,0.02327223922638777,-0.02327223922638777
2022-02-26,41668.92012465954,38972.35666666667,38478.2775,-1.0,-1.0,-0.0026122429413982795,0.0026122429413982795
2022-02-27,41614.81634810706,39346.11666666667,38590.542499999996,1.0,-1.0,-0.03624153558887355,0.03624153558887355
2022-02-28,41614.748167661564,38184.92333333333,39798.740000000005,1.0,-1.0,0.14485582800848928,-0.14485582800848928
2022-03-01,41663.25428479819,41612.003333333334,41099.2475,-1.0,-1.0,0.029221501390175986,-0.029221501390175986
2022-03-02,41709.65257594876,44060.06,42293.3125,-1.0,-1.0,-0.011891169081429398,0.011891169081429398
2022-03-03,41726.82833188257,44209.02333333334,43482.045,-1.0,-1.0,-0.032783830124999525,0.032783830124999525
2022-03-04,41695.6600154662,42795.799999999996,42479.21,1.0,-1.0,-0.07785697460781071,0.07785697460781071
2022-03-05,41672.23883661177,40075.32,41223.4,-1.0,-1.0,0.006368034052761873,-0.006368034052761873
2022-03-06,41637.47813988821,39139.59666666666,39855.3575,-1.0,-1.0,-0.024802045588147248,0.024802045588147248
2022-03-07,41573.72408140315,38734.416666666664,38738.8575,1.0,-1.0,-0.011264988947395915,0.011264988947395915
2022-03-08,41527.0305769547,38230.19,38634.35,1.0,-1.0,0.019549068126776703,-0.019549068126776703
2022-03-09,41518.21757483488,38653.45333333334,39270.2875,-1.0,-1.0,0.08290802395933139,-0.08290802395933139
2022-03-10,41487.98538970798,41064.073333333334,39520.585,-1.0,-1.0,-0.0600764727999884,0.0600764727999884
2022-03-11,41449.0030510785,40000.45333333333,39705.9775,1.0,-1.0,-0.01756455786109279,0.01756455786109279
2022-03-12,41432.97582612486,39063.14333333333,39725.159999999996,-1.0,-1.0,0.0020085428265792515,-0.0020085428265792515
2022-03-13,41404.73140071276,38984.863333333335,38684.0675,1.0,-1.0,-0.026541872469552308,0.026541872469552308
2022-03-14,41375.545238370076,38221.950000000004,38746.41,-1.0,-1.0,0.05013666923081428,-0.05013666923081428
