date,4 period SMA,r3,title_neg,y_test,predictions,daily returns,model returns
2021-12-21,47329.9375,48648.91333333334,0.0,-1.0,-1.0,0.042113511144609594,
2021-12-22,47768.3575,50981.90666666666,0.0,1.0,-1.0,-0.00617142034302387,0.00617142034302387
2021-12-23,48807.7525,50016.31333333333,0.0,-1.0,-1.0,0.04632095555789717,-0.04632095555789717
2021-12-24,49784.212499999994,53499.32333333333,0.0,-1.0,-1.0,-0.00036999292469663825,0.00036999292469663825
2021-12-25,50161.6575,52430.38,0.0,1.0,-1.0,-0.008271153089334793,0.008271153089334793
2021-12-26,50708.490000000005,51579.98000000001,0.0,-1.0,-1.0,0.007456994749567736,-0.007456994749567736
2021-12-27,50674.14750000001,52357.16333333333,0.0,-1.0,-1.0,-0.0014583808053845182,0.0014583808053845182
2021-12-28,49855.082500000004,52718.48,0.0,-1.0,-1.0,-0.06228028237462302,0.06228028237462302
2021-12-29,48871.3325,51911.306666666664,0.0,1.0,-1.0,-0.022696573723480662,0.022696573723480662
2021-12-30,47957.6775,48942.33333333334,0.0,-1.0,-1.0,0.014122776320756536,-0.014122776320756536
2021-12-31,46836.55,48973.62333333333,0.0,1.0,-1.0,-0.01918343188485272,0.01918343188485272
2022-01-01,46881.277500000004,49684.65666666667,0.0,-1.0,-1.0,0.032579403261964845,-0.032579403261964845
2022-01-02,47086.6575,49041.47666666666,0.0,-1.0,-1.0,-0.009145971566960398,0.009145971566960398
2022-01-03,46917.965000000004,48646.06,0.0,-1.0,-1.0,-0.01776586732106511,0.01776586732106511
2022-01-04,46821.735,48444.700000000004,0.0,-1.0,-1.0,-0.013221562197902492,0.013221562197902492
2022-01-05,45753.854999999996,48354.05666666667,0.143,-1.0,-1.0,-0.0519479726069183,0.0519479726069183
2022-01-06,44702.8875,48910.37666666667,0.0,-1.0,-1.0,-0.008488156694659077,0.008488156694659077
2022-01-07,43482.9825,44495.049999999996,0.0,1.0,-1.0,-0.0351845107655554,0.0351845107655554
2022-01-08,42444.915,44309.933333333334,0.0,1.0,-1.0,0.002724791707163998,-0.002724791707163998
2022-01-09,42048.2875,43292.579999999994,0.0,-1.0,-1.0,0.004435728245905768,-0.004435728245905768
2022-01-10,41733.3325,43537.12666666666,0.0,1.0,-1.0,-0.0010063390041520348,0.0010063390041520348
2022-01-11,42024.035,43838.829999999994,0.0,1.0,-1.0,0.021682114096984728,-0.021682114096984728
2022-01-12,42579.765,44197.14333333333,0.0,-1.0,-1.0,0.027460554575093665,-0.027460554575093665
2022-01-13,42753.6375,45430.22,0.0,1.0,-1.0,-0.03058015163545902,0.03058015163545902
2022-01-14,43063.005000000005,45312.556666666664,0.0,1.0,-1.0,0.011744565509816507,-0.011744565509816507
2022-01-15,43151.755000000005,44467.72666666667,0.0,-1.0,-1.0,0.0005650260706233645,-0.0005650260706233645
2022-01-16,42944.005000000005,44391.43,0.0,-1.0,-1.0,-0.0002931462953200681,0.0002931462953200681
2022-01-17,42854.3825,43936.02666666667,0.0,1.0,-1.0,-0.020199825128634497,0.020199825128634497
2022-01-18,42677.4225,43941.833333333336,0.0,-1.0,-1.0,0.003566213808853691,-0.003566213808853691
2022-01-19,42321.3525,43538.706666666665,0.0,-1.0,-1.0,-0.01634180296051302,0.01634180296051302
2022-01-20,41723.665,43206.47,0.0,-1.0,-1.0,-0.023502154704235556,0.023502154704235556
2022-01-21,40284.5875,44531.43,0.0,-1.0,-1.0,-0.10411763158690412,0.10411763158690412
2022-01-22,38464.4125,43321.47,0.0,1.0,-1.0,-0.03769730590849685,0.03769730590849685
2022-01-23,37110.5475,38132.1,0.0,1.0,-1.0,0.033449743409305954,-0.033449743409305954
2022-01-24,36105.4075,37679.51,0.0,1.0,-1.0,0.011472069593911227,-0.011472069593911227
2022-01-25,36233.659999999996,40342.003333333334,0.0,-1.0,-1.0,0.008127854753159802,-0.008127854753159802
2022-01-26,36668.14,38578.96,0.0,1.0,-1.0,-0.004031027384361674,0.004031027384361674
2022-01-27,36897.0275,40006.66666666667,0.0,1.0,-1.0,0.009529103211304513,-0.009529103211304513
2022-01-28,37161.08,38361.32000000001,0.0,1.0,-1.0,0.01497466368497391,-0.01497466368497391
2022-01-29,37463.20999999999,39135.513333333336,0.0,-1.0,-1.0,0.011938522495158699,-0.011938522495158699
2022-01-30,37731.314999999995,39504.30666666666,0.0,1.0,-1.0,-0.0074693110564038045,0.0074693110564038045
2022-01-31,38058.015,38871.84666666667,0.0,1.0,-1.0,0.015446484007078931,-0.015446484007078931
2022-02-01,38302.5225,40059.22666666667,0.0,-1.0,-1.0,0.005919114875386322,-0.005919114875386322
2022-02-02,37984.9025,39918.463333333326,0.0,1.0,-1.0,-0.046472388000493026,0.046472388000493026
2022-02-03,37842.365,39715.38,0.0,1.0,-1.0,0.011254497733651725,-0.011254497733651725
2022-02-04,38619.2025,38119.87,0.0,-1.0,-1.0,0.11424433306415893,-0.11424433306415893
2022-02-05,39291.2025,44870.03666666667,0.0,1.0,-1.0,-0.004610065124446061,0.004610065124446061
2022-02-06,40662.33,42450.443333333336,0.0,1.0,-1.0,0.02412318803632174,-0.02412318803632174
2022-02-07,42294.425,43590.583333333336,0.0,1.0,-1.0,0.03442874108058658,-0.03442874108058658
2022-02-08,42911.61,46183.43,0.0,1.0,-1.0,0.004630475508776266,-0.004630475508776266
2022-02-09,43659.1425,46892.996666666666,0.16,-1.0,-1.0,0.007486548937753801,-0.007486548937753801
2022-02-10,43937.785,45777.62666666667,0.0,-1.0,-1.0,-0.01977070596528674,0.01977070596528674
2022-02-11,43571.22,46810.473333333335,0.0,-1.0,-1.0,-0.025789140194926174,0.025789140194926174
2022-02-12,43114.94,44725.57000000001,0.0,-1.0,-1.0,-0.003678222332563097,0.003678222332563097
2022-02-13,42535.175,43719.35666666667,0.0,1.0,-1.0,-0.0038895851448687013,0.0038895851448687013
2022-02-14,42295.3,43117.886666666665,0.0,1.0,-1.0,0.01146820514552127,-0.01146820514552127
2022-02-15,42838.082500000004,43601.473333333335,0.0,-1.0,-1.0,0.04722876701443535,-0.04722876701443535
2022-02-16,43252.005000000005,46232.13333333333,0.0,-1.0,-1.0,-0.015070201141052064,0.015070201141052064
2022-02-17,42867.515,45153.14666666667,0.0,-1.0,-1.0,-0.07653493356819008,0.07653493356819008
2022-02-18,42227.14,45676.04,0.0,1.0,-1.0,-0.013359265667383102,0.013359265667383102
2022-02-19,41110.7175,41637.986666666664,0.0,-1.0,-1.0,0.0026199241315199018,-0.0026199241315199018
2022-02-20,39739.049999999996,40859.46333333333,0.0,-1.0,-1.0,-0.042223429277602254,0.042223429277602254
2022-02-21,38862.165,40962.88333333334,0.0,1.0,-1.0,-0.035916689265527824,0.035916689265527824
2022-02-22,38426.137500000004,40461.85333333333,0.0,-1.0,-1.0,0.03302433841617636,-0.03302433841617636
2022-02-23,37718.8475,39748.776666666665,0.0,1.0,-1.0,-0.025642467642837508,0.025642467642837508
2022-02-24,37703.927500000005,40058.71666666667,0.0,1.0,-1.0,0.02891811304211722,-0.02891811304211722
2022-02-25,38256.68,43018.21666666667,0.0,-1.0,-1.0,0.02327223922638777,-0.02327223922638777
2022-02-26,38478.2775,40641.51666666666,0.0,-1.0,-1.0,-0.0026122429413982795,0.0026122429413982795
2022-02-27,38590.542499999996,41121.386666666665,0.0,1.0,-1.0,-0.03624153558887355,0.03624153558887355
2022-02-28,39798.740000000005,41040.62333333333,0.0,1.0,-1.0,0.14485582800848928,-0.14485582800848928
2022-03-01,41099.2475,48387.67333333333,0.0,-1.0,-1.0,0.029221501390175986,-0.029221501390175986
2022-03-02,42293.3125,46199.079999999994,0.0,-1.0,-1.0,-0.011891169081429398,0.011891169081429398
2022-03-03,43482.045,46274.93333333334,0.0,-1.0,-1.0,-0.032783830124999525,0.032783830124999525
2022-03-04,42479.21,45064.64,0.0,1.0,-1.0,-0.07785697460781071,0.07785697460781071
2022-03-05,41223.4,44052.62,0.0,-1.0,-1.0,0.006368034052761873,-0.006368034052761873
2022-03-06,39855.3575,40345.24666666666,0.0,-1.0,-1.0,-0.024802045588147248,0.024802045588147248
2022-03-07,38738.8575,40339.71666666667,0.0,1.0,-1.0,-0.011264988947395915,0.011264988947395915
2022-03-08,38634.35,40622.76,0.0,1.0,-1.0,0.019549068126776703,-0.019549068126776703
2022-03-09,39270.2875,40147.88333333334,0.0,-1.0,-1.0,0.08290802395933139,-0.08290802395933139
