date,5 period EMA,consecutive,s3,y_test,predictions,daily returns,model returns
2021-12-21,47567.70514285715,2.0,44691.473333333335,-1.0,1.0,0.042113511144609594,
2021-12-22,47929.00266148616,-1.0,45583.986666666664,1.0,1.0,-0.00617142034302387,-0.00617142034302387
2021-12-23,48938.32044885012,1.0,47707.79333333334,-1.0,1.0,0.04632095555789717,0.04632095555789717
2021-12-24,49582.29830786084,-1.0,46590.16333333332,-1.0,1.0,-0.00036999292469663825,-0.00036999292469663825
2021-12-25,49859.560353296,-2.0,49579.24,1.0,1.0,-0.008271153089334793,-0.008271153089334793
2021-12-26,50168.44121331362,1.0,49552.16,-1.0,1.0,0.007456994749567736,0.007456994749567736
2021-12-27,50347.487446927546,-1.0,48621.16333333333,-1.0,1.0,-0.0014583808053845182,-0.0014583808053845182
2021-12-28,49408.07806211467,-2.0,49440.48,-1.0,1.0,-0.06228028237462302,-0.06228028237462302
2021-12-29,48423.566275364865,-3.0,45129.22666666666,1.0,1.0,-0.022696573723480662,-0.022696573723480662
2021-12-30,47988.340276128234,1.0,44858.153333333335,-1.0,1.0,0.014122776320756536,0.014122776320756536
2021-12-31,47396.96985879311,-1.0,44973.62333333333,1.0,1.0,-0.01918343188485272,-0.01918343188485272
2022-01-01,47505.640201829425,1.0,43944.136666666665,-1.0,1.0,0.032579403261964845,0.032579403261964845
2022-01-02,47432.43726922503,-1.0,45548.95666666667,-1.0,1.0,-0.009145971566960398,-0.009145971566960398
2022-01-03,47103.509802609035,-2.0,45974.06,-1.0,1.0,-0.01776586732106511,-0.01776586732106511
2022-01-04,46679.54903792011,-3.0,44696.700000000004,-1.0,1.0,-0.013221562197902492,-0.013221562197902492
2022-01-05,45603.193564654095,-4.0,44238.97666666667,-1.0,1.0,-0.0519479726069183,-0.0519479726069183
2022-01-06,44762.78671669158,-5.0,39770.37666666667,-1.0,1.0,-0.008488156694659077,-0.008488156694659077
2022-01-07,43697.25620059021,-6.0,41724.21,1.0,1.0,-0.0351845107655554,-0.0351845107655554
2022-01-08,43024.71084905279,1.0,39238.27333333333,1.0,1.0,0.002724791707163998,0.002724791707163998
2022-01-09,42637.99858473992,2.0,39694.579999999994,-1.0,1.0,0.004435728245905768,0.004435728245905768
2022-01-10,42366.15521277593,-1.0,40363.76666666666,1.0,1.0,-0.0010063390041520348,-0.0010063390041520348
2022-01-11,42487.202272393355,1.0,38641.829999999994,1.0,1.0,0.021682114096984728,0.021682114096984728
2022-01-12,42959.02705130381,2.0,40535.003333333334,-1.0,1.0,0.027460554575093665,0.027460554575093665
2022-01-13,42826.0536606659,-1.0,41686.22,1.0,1.0,-0.03058015163545902,-0.03058015163545902
2022-01-14,42904.022847060645,1.0,40934.996666666666,1.0,1.0,0.011744565509816507,0.011744565509816507
2022-01-15,42964.11210695456,2.0,41022.066666666666,-1.0,1.0,0.0005650260706233645,0.0005650260706233645
2022-01-16,42999.96148772879,-1.0,41901.43,-1.0,1.0,-0.0002931462953200681,-0.0002931462953200681
2022-01-17,42733.84724728258,-2.0,42149.606666666674,1.0,1.0,-0.020199825128634497,-0.020199825128634497
2022-01-18,42606.6047004438,1.0,40670.31333333333,-1.0,1.0,0.003566213808853691,0.003566213808853691
2022-01-19,42291.07291693412,-1.0,40656.706666666665,-1.0,1.0,-0.01634180296051302,-0.01634180296051302
2022-01-20,41754.351698889775,-2.0,40365.33,-1.0,1.0,-0.023502154704235556,-0.023502154704235556
2022-01-21,39984.670592438146,-3.0,38628.049999999996,-1.0,1.0,-0.10411763158690412,-0.10411763158690412
2022-01-22,38346.92006170129,-4.0,32002.369999999995,1.0,1.0,-0.03769730590849685,-0.03769730590849685
2022-01-23,37646.1299460674,1.0,32477.659999999996,1.0,1.0,0.033449743409305954,0.033449743409305954
2022-01-24,37317.53660099436,2.0,33883.530000000006,1.0,1.0,0.011472069593911227,0.011472069593911227
2022-01-25,37197.79772677697,3.0,31076.34333333333,-1.0,1.0,0.008127854753159802,0.008127854753159802
2022-01-26,37068.31181264669,-1.0,34890.68,1.0,1.0,-0.004031027384361674,-0.004031027384361674
2022-01-27,37098.907875917655,1.0,34635.96666666666,1.0,1.0,0.009529103211304513,0.009529103211304513
2022-01-28,37304.7919209564,2.0,34906.40000000001,1.0,1.0,0.01497466368497391,0.01497466368497391
2022-01-29,37592.141284059784,3.0,35445.53333333334,-1.0,1.0,0.011938522495158699,0.011938522495158699
2022-01-30,37688.68085680636,-1.0,36599.706666666665,1.0,1.0,-0.0074693110564038045,-0.0074693110564038045
2022-01-31,37948.08723924397,1.0,36856.58666666666,1.0,1.0,0.015446484007078931,0.015446484007078931
2022-02-01,38196.921493707385,2.0,35836.44666666667,-1.0,1.0,0.005919114875386322,0.005919114875386322
2022-02-02,37763.40099478507,-1.0,37388.06333333333,1.0,1.0,-0.046472388000493026,-0.046472388000493026
2022-02-03,37612.80399628719,1.0,35177.439999999995,1.0,1.0,0.011254497733651725,0.011254497733651725
2022-02-04,38933.28599890543,2.0,35845.87,-1.0,1.0,0.11424433306415893,0.11424433306415893
2022-02-05,39749.72066650604,-1.0,35378.83666666667,1.0,1.0,-0.004610065124446061,-0.004610065124446061
2022-02-06,40626.770444744914,1.0,40309.083333333336,1.0,1.0,0.02412318803632174,0.02412318803632174
2022-02-07,41697.843630161755,2.0,40511.70333333333,1.0,1.0,0.03442874108058658,0.03442874108058658
2022-02-08,42479.55908693595,3.0,40474.13,1.0,1.0,0.004630475508776266,0.004630475508776266
2022-02-09,43110.61272471086,4.0,41240.996666666666,-1.0,1.0,0.007486548937753801,0.007486548937753801
2022-02-10,43238.88848315235,-1.0,42415.46666666667,-1.0,1.0,-0.01977070596528674,-0.01977070596528674
2022-02-11,42950.502322083914,-2.0,41516.49333333334,-1.0,1.0,-0.025789140194926174,-0.025789140194926174
2022-02-12,42706.29154804598,-3.0,40762.59000000001,-1.0,1.0,-0.003678222332563097,-0.003678222332563097
2022-02-13,42488.747698691404,-4.0,40938.136666666665,1.0,1.0,-0.0038895851448687013,-0.0038895851448687013
2022-02-14,42504.47846579456,1.0,41337.886666666665,1.0,1.0,0.01146820514552127,0.01146820514552127
2022-02-15,43184.60564387126,2.0,41017.79333333333,-1.0,1.0,0.04722876701443535,0.04722876701443535
2022-02-16,43414.25709591602,-1.0,41583.393333333326,-1.0,1.0,-0.015070201141052064,-0.015070201141052064
2022-02-17,42448.07139727216,-2.0,42667.206666666665,-1.0,1.0,-0.07653493356819008,-0.07653493356819008
2022-02-18,41623.52759817849,-3.0,37493.04,1.0,1.0,-0.013359265667383102,-0.013359265667383102
2022-02-19,41108.74173211776,1.0,38618.22666666667,-1.0,1.0,0.0026199241315199018,0.0026199241315199018
2022-02-20,40201.4578214104,-1.0,39248.88333333333,-1.0,1.0,-0.042223429277602254,-0.042223429277602254
2022-02-21,39137.02521427247,-2.0,36712.003333333334,1.0,1.0,-0.035916689265527824,-0.035916689265527824
2022-02-22,38834.79347618143,1.0,35073.153333333335,-1.0,1.0,0.03302433841617636,0.03302433841617636
2022-02-23,38306.53231745404,-1.0,35590.776666666665,1.0,1.0,-0.025642467642837508,-0.025642467642837508
2022-02-24,38313.42487830269,1.0,35632.43666666667,1.0,1.0,0.02891811304211722,0.02891811304211722
2022-02-25,38615.33991886853,2.0,31976.776666666665,-1.0,1.0,0.02327223922638777,0.02327223922638777
2022-02-26,38782.466612579046,-1.0,37303.19666666667,-1.0,1.0,-0.0026122429413982795,-0.0026122429413982795
2022-02-27,38421.334408386,-2.0,37570.84666666667,1.0,1.0,-0.03624153558887355,-0.03624153558887355
2022-02-28,40000.88960559077,1.0,35329.223333333335,1.0,1.0,0.14485582800848928,0.14485582800848928
2022-03-01,41474.32640372724,2.0,34836.333333333336,-1.0,1.0,0.029221501390175986,0.029221501390175986
2022-03-02,42280.54426915151,-1.0,41921.04,-1.0,1.0,-0.011891169081429398,-0.011891169081429398
2022-03-03,42338.36284610101,-2.0,42143.113333333335,-1.0,1.0,-0.032783830124999525,-0.032783830124999525
2022-03-04,41275.12856406733,-3.0,40526.95999999999,1.0,1.0,-0.07785697460781071,-0.07785697460781071
2022-03-05,40649.40570937821,1.0,36098.02,-1.0,1.0,0.006368034052761873,0.006368034052761873
2022-03-06,39906.54047291881,-1.0,37933.946666666656,-1.0,1.0,-0.024802045588147248,-0.024802045588147248
2022-03-07,39267.02698194587,-2.0,37129.11666666666,1.0,1.0,-0.011264988947395915,-0.011264988947395915
2022-03-08,39088.22798796392,1.0,35837.62,1.0,1.0,0.019549068126776703,0.019549068126776703
2022-03-09,40039.388658642616,2.0,37159.02333333334,-1.0,1.0,0.08290802395933139,0.08290802395933139
2022-03-10,39833.59243909508,-1.0,37126.46333333333,-1.0,1.0,-0.0600764727999884,-0.0600764727999884
2022-03-11,39465.58495939673,-2.0,36500.55333333334,1.0,1.0,-0.01756455786109279,-0.01756455786109279
2022-03-12,39246.17663959782,1.0,37050.48333333333,-1.0,1.0,0.0020085428265792515,0.0020085428265792515
2022-03-13,38756.564426398545,-1.0,38158.67333333333,1.0,1.0,-0.026541872469552308,-0.026541872469552308
2022-03-14,39061.49961759903,1.0,36490.46000000001,-1.0,1.0,0.05013666923081428,0.05013666923081428
