date,VWAP.,pivot,s3,y_test,predictions,daily returns,model returns
2021-12-21,47234.07062887655,46670.193333333336,44691.473333333335,-1.0,1.0,0.042113511144609594,
2021-12-22,47425.255646971054,48282.94666666666,45583.986666666664,1.0,1.0,-0.00617142034302387,-0.00617142034302387
2021-12-23,47772.94619555297,48862.05333333334,47707.79333333334,-1.0,1.0,0.04632095555789717,0.04632095555789717
2021-12-24,48117.93531124455,50044.743333333325,46590.16333333332,-1.0,1.0,-0.00036999292469663825,-0.00036999292469663825
2021-12-25,48266.20209306309,51004.81,49579.24,1.0,1.0,-0.008271153089334793,-0.008271153089334793
2021-12-26,48414.407737237976,50566.07000000001,49552.16,-1.0,1.0,0.007456994749567736,0.007456994749567736
2021-12-27,48623.249473154625,50489.16333333333,48621.16333333333,-1.0,1.0,-0.0014583808053845182,-0.0014583808053845182
2021-12-28,48611.82040990336,51079.48,49440.48,-1.0,1.0,-0.06228028237462302,-0.06228028237462302
2021-12-29,48462.470865058654,48520.26666666666,45129.22666666666,1.0,1.0,-0.022696573723480662,-0.022696573723480662
2021-12-30,48368.91332498641,46900.24333333334,44858.153333333335,-1.0,1.0,0.014122776320756536,0.014122776320756536
2021-12-31,48264.05549981666,46973.62333333333,44973.62333333333,1.0,1.0,-0.01918343188485272,-0.01918343188485272
2022-01-01,48228.72258374826,46814.39666666667,43944.136666666665,-1.0,1.0,0.032579403261964845,0.032579403261964845
2022-01-02,48198.413754347595,47295.21666666667,45548.95666666667,-1.0,1.0,-0.009145971566960398,-0.009145971566960398
2022-01-03,48121.25675049539,47310.06,45974.06,-1.0,1.0,-0.01776586732106511,-0.01776586732106511
2022-01-04,48016.6413188132,46570.700000000004,44696.700000000004,-1.0,1.0,-0.013221562197902492,-0.013221562197902492
2022-01-05,47732.858823972696,46296.51666666667,44238.97666666667,-1.0,1.0,-0.0519479726069183,-0.0519479726069183
2022-01-06,47479.58537144273,44340.37666666667,39770.37666666667,-1.0,1.0,-0.008488156694659077,-0.008488156694659077
2022-01-07,47070.368639461645,43109.63,41724.21,1.0,1.0,-0.0351845107655554,-0.0351845107655554
2022-01-08,46839.93775900919,41774.10333333333,39238.27333333333,1.0,1.0,0.002724791707163998,0.002724791707163998
2022-01-09,46704.47522923992,41493.579999999994,39694.579999999994,-1.0,1.0,0.004435728245905768,0.004435728245905768
2022-01-10,46386.21591754223,41950.44666666666,40363.76666666666,1.0,1.0,-0.0010063390041520348,-0.0010063390041520348
2022-01-11,46221.133931730474,41240.329999999994,38641.829999999994,1.0,1.0,0.021682114096984728,0.021682114096984728
2022-01-12,46125.20104526704,42366.073333333334,40535.003333333334,-1.0,1.0,0.027460554575093665,0.027460554575093665
2022-01-13,46017.96424345864,43558.22,41686.22,1.0,1.0,-0.03058015163545902,-0.03058015163545902
2022-01-14,45912.16031459422,43123.776666666665,40934.996666666666,1.0,1.0,0.011744565509816507,0.011744565509816507
2022-01-15,45853.35458653786,42744.89666666667,41022.066666666666,-1.0,1.0,0.0005650260706233645,0.0005650260706233645
2022-01-16,45798.3282859015,43146.43,41901.43,-1.0,1.0,-0.0002931462953200681,-0.0002931462953200681
2022-01-17,45709.192261191325,43042.81666666667,42149.606666666674,1.0,1.0,-0.020199825128634497,-0.020199825128634497
2022-01-18,45613.712942929604,42306.073333333334,40670.31333333333,-1.0,1.0,0.003566213808853691,0.003566213808853691
2022-01-19,45507.40131522789,42097.706666666665,40656.706666666665,-1.0,1.0,-0.01634180296051302,-0.01634180296051302
2022-01-20,45366.883941862085,41785.9,40365.33,-1.0,1.0,-0.023502154704235556,-0.023502154704235556
2022-01-21,44828.64438614344,41579.74,38628.049999999996,-1.0,1.0,-0.10411763158690412,-0.10411763158690412
2022-01-22,44196.26899509078,37661.92,32002.369999999995,1.0,1.0,-0.03769730590849685,-0.03769730590849685
2022-01-23,43931.41279989453,35304.88,32477.659999999996,1.0,1.0,0.033449743409305954,0.033449743409305954
2022-01-24,43427.203909691656,35781.520000000004,33883.530000000006,1.0,1.0,0.011472069593911227,0.011472069593911227
2022-01-25,43214.352229581615,35709.17333333333,31076.34333333333,-1.0,1.0,0.008127854753159802,0.008127854753159802
2022-01-26,42959.98295885176,36734.82,34890.68,1.0,1.0,-0.004031027384361674,-0.004031027384361674
2022-01-27,42759.23007076223,37321.316666666666,34635.96666666666,1.0,1.0,0.009529103211304513,0.009529103211304513
2022-01-28,42624.64958068005,36633.86000000001,34906.40000000001,1.0,1.0,0.01497466368497391,0.01497466368497391
2022-01-29,42555.94598303117,37290.52333333334,35445.53333333334,-1.0,1.0,0.011938522495158699,0.011938522495158699
2022-01-30,42498.83355317304,38052.00666666666,36599.706666666665,1.0,1.0,-0.0074693110564038045,-0.0074693110564038045
2022-01-31,42405.51456257562,37864.21666666667,36856.58666666666,1.0,1.0,0.015446484007078931,0.015446484007078931
2022-02-01,42334.697731988395,37947.83666666667,35836.44666666667,-1.0,1.0,0.005919114875386322,0.005919114875386322
2022-02-02,42241.01476169976,38653.26333333333,37388.06333333333,1.0,1.0,-0.046472388000493026,-0.046472388000493026
2022-02-03,42152.22334290445,37446.409999999996,35177.439999999995,1.0,1.0,0.011254497733651725,0.011254497733651725
2022-02-04,42085.43552351685,36982.87,35845.87,-1.0,1.0,0.11424433306415893,0.11424433306415893
2022-02-05,42073.939980318624,40124.43666666667,35378.83666666667,1.0,1.0,-0.004610065124446061,-0.004610065124446061
2022-02-06,42073.687059240416,41379.763333333336,40309.083333333336,1.0,1.0,0.02412318803632174,0.02412318803632174
2022-02-07,42104.63868770095,42051.14333333333,40511.70333333333,1.0,1.0,0.03442874108058658,0.03442874108058658
2022-02-08,42164.26153040771,43328.78,40474.13,1.0,1.0,0.004630475508776266,0.004630475508776266
2022-02-09,42194.92071741005,44066.996666666666,41240.996666666666,-1.0,1.0,0.007486548937753801,0.007486548937753801
2022-02-10,42249.913669429814,44096.54666666667,42415.46666666667,-1.0,1.0,-0.01977070596528674,-0.01977070596528674
2022-02-11,42259.67374332227,44163.48333333334,41516.49333333334,-1.0,1.0,-0.025789140194926174,-0.025789140194926174
2022-02-12,42260.47000552285,42744.08000000001,40762.59000000001,-1.0,1.0,-0.003678222332563097,-0.003678222332563097
2022-02-13,42260.22112159908,42328.746666666666,40938.136666666665,1.0,1.0,-0.0038895851448687013,-0.0038895851448687013
2022-02-14,42260.934578441695,42227.886666666665,41337.886666666665,1.0,1.0,0.01146820514552127,0.01146820514552127
2022-02-15,42287.14512266363,42309.63333333333,41017.79333333333,-1.0,1.0,0.04722876701443535,0.04722876701443535
2022-02-16,42306.224527609156,43907.76333333333,41583.393333333326,-1.0,1.0,-0.015070201141052064,-0.015070201141052064
2022-02-17,42292.41610458355,43910.176666666666,42667.206666666665,-1.0,1.0,-0.07653493356819008,-0.07653493356819008
2022-02-18,42254.655728800055,41584.54,37493.04,1.0,1.0,-0.013359265667383102,-0.013359265667383102
2022-02-19,42238.97071465154,40128.10666666667,38618.22666666667,-1.0,1.0,0.0026199241315199018,0.0026199241315199018
2022-02-20,42194.61882735863,40054.17333333333,39248.88333333333,-1.0,1.0,-0.042223429277602254,-0.042223429277602254
2022-02-21,42089.54598864781,38837.443333333336,36712.003333333334,1.0,1.0,-0.035916689265527824,-0.035916689265527824
2022-02-22,42000.868080028675,37767.503333333334,35073.153333333335,-1.0,1.0,0.03302433841617636,0.03302433841617636
2022-02-23,41934.42598713759,37669.776666666665,35590.776666666665,1.0,1.0,-0.025642467642837508,-0.025642467642837508
2022-02-24,41746.52134738898,37845.57666666667,35632.43666666667,1.0,1.0,0.02891811304211722,0.02891811304211722
2022-02-25,41692.42664447804,37497.496666666666,31976.776666666665,-1.0,1.0,0.02327223922638777,0.02327223922638777
2022-02-26,41668.92012465954,38972.35666666667,37303.19666666667,-1.0,1.0,-0.0026122429413982795,-0.0026122429413982795
2022-02-27,41614.81634810706,39346.11666666667,37570.84666666667,1.0,1.0,-0.03624153558887355,-0.03624153558887355
2022-02-28,41614.748167661564,38184.92333333333,35329.223333333335,1.0,1.0,0.14485582800848928,0.14485582800848928
2022-03-01,41663.25428479819,41612.003333333334,34836.333333333336,-1.0,1.0,0.029221501390175986,0.029221501390175986
2022-03-02,41709.65257594876,44060.06,41921.04,-1.0,1.0,-0.011891169081429398,-0.011891169081429398
2022-03-03,41726.82833188257,44209.02333333334,42143.113333333335,-1.0,1.0,-0.032783830124999525,-0.032783830124999525
2022-03-04,41695.6600154662,42795.799999999996,40526.95999999999,1.0,1.0,-0.07785697460781071,-0.07785697460781071
2022-03-05,41672.23883661177,40075.32,36098.02,-1.0,1.0,0.006368034052761873,0.006368034052761873
2022-03-06,41637.47813988821,39139.59666666666,37933.946666666656,-1.0,1.0,-0.024802045588147248,-0.024802045588147248
2022-03-07,41573.72408140315,38734.416666666664,37129.11666666666,1.0,1.0,-0.011264988947395915,-0.011264988947395915
2022-03-08,41527.0305769547,38230.19,35837.62,1.0,1.0,0.019549068126776703,0.019549068126776703
2022-03-09,41518.21757483488,38653.45333333334,37159.02333333334,-1.0,1.0,0.08290802395933139,0.08290802395933139
2022-03-10,41487.98538970798,41064.073333333334,37126.46333333333,-1.0,1.0,-0.0600764727999884,-0.0600764727999884
2022-03-11,41449.0030510785,40000.45333333333,36500.55333333334,1.0,1.0,-0.01756455786109279,-0.01756455786109279
2022-03-12,41432.97582612486,39063.14333333333,37050.48333333333,-1.0,1.0,0.0020085428265792515,0.0020085428265792515
2022-03-13,41404.73140071276,38984.863333333335,38158.67333333333,1.0,1.0,-0.026541872469552308,-0.026541872469552308
2022-03-14,41375.545238370076,38221.950000000004,36490.46000000001,-1.0,1.0,0.05013666923081428,0.05013666923081428
