date,volume,consecutive,r3,y_test,predictions,daily returns,model returns
2021-12-21,37713.92924,2.0,48648.91333333334,-1.0,1.0,0.042113511144609594,
2021-12-22,27004.2022,-1.0,50981.90666666666,1.0,1.0,-0.00617142034302387,-0.00617142034302387
2021-12-23,35192.54046,1.0,50016.31333333333,-1.0,1.0,0.04632095555789717,0.04632095555789717
2021-12-24,31684.84269,-1.0,53499.32333333333,-1.0,1.0,-0.00036999292469663825,-0.00036999292469663825
2021-12-25,19135.51613,-2.0,52430.38,1.0,1.0,-0.008271153089334793,-0.008271153089334793
2021-12-26,22569.88914,1.0,51579.98000000001,-1.0,1.0,0.007456994749567736,0.007456994749567736
2021-12-27,28783.57561,-1.0,52357.16333333333,-1.0,1.0,-0.0014583808053845182,-0.0014583808053845182
2021-12-28,45853.33924,-2.0,52718.48,-1.0,1.0,-0.06228028237462302,-0.06228028237462302
2021-12-29,39498.87,-3.0,51911.306666666664,1.0,1.0,-0.022696573723480662,-0.022696573723480662
2021-12-30,30352.29569,1.0,48942.33333333334,-1.0,1.0,0.014122776320756536,0.014122776320756536
2021-12-31,34937.99796,-1.0,48973.62333333333,1.0,1.0,-0.01918343188485272,-0.01918343188485272
2022-01-01,19604.46325,1.0,49684.65666666667,-1.0,1.0,0.032579403261964845,0.032579403261964845
2022-01-02,18340.4604,-1.0,49041.47666666666,-1.0,1.0,-0.009145971566960398,-0.009145971566960398
2022-01-03,27662.0771,-2.0,48646.06,-1.0,1.0,-0.01776586732106511,-0.01776586732106511
2022-01-04,35491.4136,-3.0,48444.700000000004,-1.0,1.0,-0.013221562197902492,-0.013221562197902492
2022-01-05,51784.11857,-4.0,48354.05666666667,-1.0,1.0,-0.0519479726069183,-0.0519479726069183
2022-01-06,38880.37305,-5.0,48910.37666666667,-1.0,1.0,-0.008488156694659077,-0.008488156694659077
2022-01-07,54836.50818,-6.0,44495.049999999996,1.0,1.0,-0.0351845107655554,-0.0351845107655554
2022-01-08,32952.73111,1.0,44309.933333333334,1.0,1.0,0.002724791707163998,0.002724791707163998
2022-01-09,22724.39426,2.0,43292.579999999994,-1.0,1.0,0.004435728245905768,0.004435728245905768
2022-01-10,50729.17019,-1.0,43537.12666666666,1.0,1.0,-0.0010063390041520348,-0.0010063390041520348
2022-01-11,37296.43729,1.0,43838.829999999994,1.0,1.0,0.021682114096984728,0.021682114096984728
2022-01-12,33943.2928,2.0,44197.14333333333,-1.0,1.0,0.027460554575093665,0.027460554575093665
2022-01-13,34910.87762,-1.0,45430.22,1.0,1.0,-0.03058015163545902,-0.03058015163545902
2022-01-14,32640.88292,1.0,45312.556666666664,1.0,1.0,0.011744565509816507,0.011744565509816507
2022-01-15,21936.05616,2.0,44467.72666666667,-1.0,1.0,0.0005650260706233645,0.0005650260706233645
2022-01-16,20602.35271,-1.0,44391.43,-1.0,1.0,-0.0002931462953200681,-0.0002931462953200681
2022-01-17,27562.08613,-2.0,43936.02666666667,1.0,1.0,-0.020199825128634497,-0.020199825128634497
2022-01-18,29324.08257,1.0,43941.833333333336,-1.0,1.0,0.003566213808853691,0.003566213808853691
2022-01-19,31685.72159,-1.0,43538.706666666665,-1.0,1.0,-0.01634180296051302,-0.01634180296051302
2022-01-20,42330.33953,-2.0,43206.47,-1.0,1.0,-0.023502154704235556,-0.023502154704235556
2022-01-21,88860.891999,-3.0,44531.43,-1.0,1.0,-0.10411763158690412,-0.10411763158690412
2022-01-22,90471.338961,-4.0,43321.47,1.0,1.0,-0.03769730590849685,-0.03769730590849685
2022-01-23,44279.52354,1.0,38132.1,1.0,1.0,0.033449743409305954,0.033449743409305954
2022-01-24,91904.753211,2.0,37679.51,1.0,1.0,0.011472069593911227,0.011472069593911227
2022-01-25,49232.40183,3.0,40342.003333333334,-1.0,1.0,0.008127854753159802,0.008127854753159802
2022-01-26,69830.16036,-1.0,38578.96,1.0,1.0,-0.004031027384361674,-0.004031027384361674
2022-01-27,53020.87934,1.0,40006.66666666667,1.0,1.0,0.009529103211304513,0.009529103211304513
2022-01-28,42154.26956,2.0,38361.32000000001,1.0,1.0,0.01497466368497391,0.01497466368497391
2022-01-29,26129.49682,3.0,39135.513333333336,-1.0,1.0,0.011938522495158699,0.011938522495158699
2022-01-30,21430.66527,-1.0,39504.30666666666,1.0,1.0,-0.0074693110564038045,-0.0074693110564038045
2022-01-31,36855.2458,1.0,38871.84666666667,1.0,1.0,0.015446484007078931,0.015446484007078931
2022-02-01,34574.44663,2.0,40059.22666666667,-1.0,1.0,0.005919114875386322,0.005919114875386322
2022-02-02,35794.6813,-1.0,39918.463333333326,1.0,1.0,-0.046472388000493026,-0.046472388000493026
2022-02-03,32081.10999,1.0,39715.38,1.0,1.0,0.011254497733651725,0.011254497733651725
2022-02-04,64703.95874,2.0,38119.87,-1.0,1.0,0.11424433306415893,0.11424433306415893
2022-02-05,32532.34372,-1.0,44870.03666666667,1.0,1.0,-0.004610065124446061,-0.004610065124446061
2022-02-06,22405.16704,1.0,42450.443333333336,1.0,1.0,0.02412318803632174,0.02412318803632174
2022-02-07,51060.62006,2.0,43590.583333333336,1.0,1.0,0.03442874108058658,0.03442874108058658
2022-02-08,64880.29387,3.0,46183.43,1.0,1.0,0.004630475508776266,0.004630475508776266
2022-02-09,34428.16729,4.0,46892.996666666666,-1.0,1.0,0.007486548937753801,0.007486548937753801
2022-02-10,62357.29091,-1.0,45777.62666666667,-1.0,1.0,-0.01977070596528674,-0.01977070596528674
2022-02-11,44975.1687,-2.0,46810.473333333335,-1.0,1.0,-0.025789140194926174,-0.025789140194926174
2022-02-12,26556.85681,-3.0,44725.57000000001,-1.0,1.0,-0.003678222332563097,-0.003678222332563097
2022-02-13,17732.08113,-4.0,43719.35666666667,1.0,1.0,-0.0038895851448687013,-0.0038895851448687013
2022-02-14,34010.1306,1.0,43117.886666666665,1.0,1.0,0.01146820514552127,0.01146820514552127
2022-02-15,38095.19576,2.0,43601.473333333335,-1.0,1.0,0.04722876701443535,0.04722876701443535
2022-02-16,28471.8727,-1.0,46232.13333333333,-1.0,1.0,-0.015070201141052064,-0.015070201141052064
2022-02-17,47245.99494,-2.0,45153.14666666667,-1.0,1.0,-0.07653493356819008,-0.07653493356819008
2022-02-18,43845.92241,-3.0,45676.04,1.0,1.0,-0.013359265667383102,-0.013359265667383102
2022-02-19,18042.0551,1.0,41637.986666666664,-1.0,1.0,0.0026199241315199018,0.0026199241315199018
2022-02-20,33439.29011,-1.0,40859.46333333333,-1.0,1.0,-0.042223429277602254,-0.042223429277602254
2022-02-21,62347.68496,-2.0,40962.88333333334,1.0,1.0,-0.035916689265527824,-0.035916689265527824
2022-02-22,53785.94589,1.0,40461.85333333333,-1.0,1.0,0.03302433841617636,0.03302433841617636
2022-02-23,43560.732,-1.0,39748.776666666665,1.0,1.0,-0.025642467642837508,-0.025642467642837508
2022-02-24,120476.29458,1.0,40058.71666666667,1.0,1.0,0.02891811304211722,0.02891811304211722
2022-02-25,56574.57125,2.0,43018.21666666667,-1.0,1.0,0.02327223922638777,0.02327223922638777
2022-02-26,29361.2568,-1.0,40641.51666666666,-1.0,1.0,-0.0026122429413982795,-0.0026122429413982795
2022-02-27,46229.44719,-2.0,41121.386666666665,1.0,1.0,-0.03624153558887355,-0.03624153558887355
2022-02-28,73945.63858,1.0,41040.62333333333,1.0,1.0,0.14485582800848928,0.14485582800848928
2022-03-01,61743.09873,2.0,48387.67333333333,-1.0,1.0,0.029221501390175986,0.029221501390175986
2022-03-02,57782.65081,-1.0,46199.079999999994,-1.0,1.0,-0.011891169081429398,-0.011891169081429398
2022-03-03,50940.61021,-2.0,46274.93333333334,-1.0,1.0,-0.032783830124999525,-0.032783830124999525
2022-03-04,61964.68498,-3.0,45064.64,1.0,1.0,-0.07785697460781071,-0.07785697460781071
2022-03-05,30363.13341,1.0,44052.62,-1.0,1.0,0.006368034052761873,0.006368034052761873
2022-03-06,39677.26158,-1.0,40345.24666666666,-1.0,1.0,-0.024802045588147248,-0.024802045588147248
2022-03-07,63941.20316,-2.0,40339.71666666667,1.0,1.0,-0.011264988947395915,-0.011264988947395915
2022-03-08,55528.43367,1.0,40622.76,1.0,1.0,0.019549068126776703,0.019549068126776703
2022-03-09,67392.58799,2.0,40147.88333333334,-1.0,1.0,0.08290802395933139,0.08290802395933139
2022-03-10,71950.25677,-1.0,45001.683333333334,-1.0,1.0,-0.0600764727999884,-0.0600764727999884
2022-03-11,59018.7642,-2.0,43500.353333333325,1.0,1.0,-0.01756455786109279,-0.01756455786109279
2022-03-12,24034.36432,1.0,41075.80333333334,-1.0,1.0,0.0020085428265792515,0.0020085428265792515
2022-03-13,32791.82359,-1.0,39811.05333333334,1.0,1.0,-0.026541872469552308,-0.026541872469552308
2022-03-14,46945.45375,1.0,39953.44,-1.0,1.0,0.05013666923081428,0.05013666923081428
