date,r2,s1,14 period RSI,y_test,predictions,daily returns,model returns
2021-12-14,50313.465293333335,45796.24529333333,38.544702987631304,1.0,-1.0,0.035127053546097464,
2021-12-15,49267.53004666667,46857.12004666666,40.07164413274575,-1.0,-1.0,0.010791572272299321,-0.010791572272299321
2021-12-16,50128.94733333334,47175.94733333334,37.68897719976722,-1.0,-1.0,-0.02522460870750398,0.02522460870750398
2021-12-17,49383.18573999999,47457.75573999999,34.962371438893044,1.0,-1.0,-0.03151595616259362,0.03151595616259362
2021-12-18,48097.415279999994,45557.455279999995,37.25262587441313,-1.0,-1.0,0.015245213651498446,-0.015245213651498446
2021-12-19,47745.10132666667,45852.73132666667,36.9473034637483,1.0,-1.0,-0.003272161877317714,0.003272161877317714
2021-12-20,48299.31913333334,46406.21913333334,37.78199782655819,1.0,-1.0,0.004989799968852626,-0.004989799968852626
2021-12-21,47893.04229333334,45914.32229333334,44.49394914712983,-1.0,-1.0,0.042113511144609594,-0.042113511144609594
2021-12-22,49950.903946666665,47251.943946666666,43.71831040776371,1.0,-1.0,-0.00617142034302387,0.00617142034302387
2021-12-23,49575.38601333334,48421.12601333334,50.63175900802803,-1.0,-1.0,0.04632095555789717,-0.04632095555789717
2021-12-24,52179.67377333333,48725.09377333333,50.57584298719388,-1.0,-1.0,-0.00036999292469663825,0.00036999292469663825
2021-12-25,51885.81226,50460.24226,49.266476112140076,1.0,-1.0,-0.008271153089334793,0.008271153089334793
2021-12-26,51192.66638000001,50178.756380000006,50.50041925110536,-1.0,-1.0,0.007456994749567736,-0.007456994749567736
2021-12-27,51643.58733333333,49775.58733333333,50.24113397583439,-1.0,-1.0,-0.0014583808053845182,0.0014583808053845182
2021-12-28,52092.382000000005,50453.382000000005,40.65528883159595,-1.0,-1.0,-0.06228028237462302,0.06228028237462302
2021-12-29,50615.92938666666,47224.88938666666,37.987914962107645,1.0,-1.0,-0.022696573723480662,0.022696573723480662
2021-12-30,48162.254953333344,46120.16495333334,40.542652315497534,-1.0,-1.0,0.014122776320756536,-0.014122776320756536
2021-12-31,48209.62333333333,46209.62333333333,38.207577142291754,1.0,-1.0,-0.01918343188485272,0.01918343188485272
2022-01-01,48588.21734666667,45717.95734666667,43.99402892889079,-1.0,-1.0,0.032579403261964845,-0.032579403261964845
2022-01-02,48374.40534666667,46628.14534666667,42.744483496310565,-1.0,-1.0,-0.009145971566960398,0.009145971566960398
2022-01-03,48135.708,46799.708,40.36793965920991,-1.0,-1.0,-0.01776586732106511,0.01776586732106511
2022-01-04,47728.832,45854.832,38.67518424915266,-1.0,-1.0,-0.013221562197902492,0.013221562197902492
2022-01-05,47568.07638666667,45510.53638666667,32.91268248340758,-1.0,-1.0,-0.0519479726069183,0.0519479726069183
2022-01-06,47164.63666666667,42594.63666666667,32.11442953383528,-1.0,-1.0,-0.008488156694659077,0.008488156694659077
2022-01-07,43965.819559999996,42580.39956,29.001181897740537,1.0,-1.0,-0.0351845107655554,0.0351845107655554
2022-01-08,43341.24627333333,40805.41627333333,29.55072370035211,1.0,-1.0,0.002724791707163998,-0.002724791707163998
2022-01-09,42605.361999999994,40806.361999999994,30.496426785440434,-1.0,-1.0,0.004435728245905768,-0.004435728245905768
2022-01-10,42931.01490666666,41344.33490666666,30.396291973341278,1.0,-1.0,-0.0010063390041520348,0.0010063390041520348
2022-01-11,42846.202999999994,40247.702999999994,35.3191423483417,1.0,-1.0,0.021682114096984728,-0.021682114096984728
2022-01-12,43497.67459333334,41666.60459333334,41.12204310187788,-1.0,-1.0,0.027460554575093665,-0.027460554575093665
2022-01-13,44715.116,42843.116,37.02861630233921,1.0,-1.0,-0.03058015163545902,0.03058015163545902
2022-01-14,44476.44270666666,42287.66270666666,39.44548354789251,1.0,-1.0,0.011744565509816507,-0.011744565509816507
2022-01-15,43809.60560666667,42086.77560666667,39.56706584270934,-1.0,-1.0,0.0005650260706233645,-0.0005650260706233645
2022-01-16,43915.840000000004,42670.840000000004,39.5227033068988,-1.0,-1.0,-0.0002931462953200681,0.0002931462953200681
2022-01-17,43594.82044666667,42701.61044666667,36.48776200241484,1.0,-1.0,-0.020199825128634497,0.020199825128634497
2022-01-18,43316.973013333336,41681.213013333334,37.383486597472114,-1.0,-1.0,0.003566213808853691,-0.003566213808853691
2022-01-19,42988.244666666666,41547.244666666666,34.94287313715479,-1.0,-1.0,-0.01634180296051302,0.01634180296051302
2022-01-20,42663.81226,41243.24226,31.781801626282586,-1.0,-1.0,-0.023502154704235556,0.023502154704235556
2022-01-21,43403.88442,40452.19442,22.358685414111008,-1.0,-1.0,-0.10411763158690412,0.10411763158690412
2022-01-22,41159.5219,35499.9719,20.260307207484004,1.0,1.0,-0.03769730590849685,0.03769730590849685
2022-01-23,37052.10196,34224.88196,26.595220861764773,1.0,1.0,0.033449743409305954,0.033449743409305954
2022-01-24,36954.47782,35056.48782,28.755647930864455,1.0,1.0,0.011472069593911227,0.011472069593911227
2022-01-25,38572.262273333334,33939.43227333333,30.33793171688049,-1.0,1.0,0.008127854753159802,0.008127854753159802
2022-01-26,37874.49852,36030.35852,29.979424958379468,1.0,1.0,-0.004031027384361674,-0.004031027384361674
2022-01-27,38980.86296666667,36295.51296666666,32.016384532145054,1.0,1.0,0.009529103211304513,0.009529103211304513
2022-01-28,37701.43028000001,35973.97028000001,35.23525831683676,1.0,1.0,0.01497466368497391,0.01497466368497391
2022-01-29,38430.72715333334,36585.737153333335,37.80158760028456,-1.0,1.0,0.011938522495158699,0.011938522495158699
2022-01-30,38949.52806666666,37497.22806666666,36.80715630477685,1.0,1.0,-0.0074693110564038045,-0.0074693110564038045
2022-01-31,38486.93200666667,37479.302006666665,40.27982638913899,1.0,1.0,0.015446484007078931,0.015446484007078931
2022-02-01,39252.67568666667,37141.28568666667,41.62413145429022,-1.0,1.0,0.005919114875386322,0.005919114875386322
2022-02-02,39435.156933333325,38169.95693333333,34.935597788364404,1.0,1.0,-0.046472388000493026,-0.046472388000493026
2022-02-03,38848.63346,36579.663459999996,37.43572017260286,1.0,1.0,0.011254497733651725,0.011254497733651725
2022-02-04,37685.536,36548.536,56.08868784537078,-1.0,-1.0,0.11424433306415893,0.11424433306415893
2022-02-05,43057.21746666667,38311.61746666667,55.29049201716724,1.0,-1.0,-0.004610065124446061,0.004610065124446061
2022-02-06,42041.44357333334,40970.76357333334,58.59560412888915,1.0,-1.0,0.02412318803632174,-0.02412318803632174
2022-02-07,43002.51725333333,41463.07725333333,62.91130362579662,1.0,-1.0,0.03442874108058658,-0.03442874108058658
2022-02-08,45092.9537,42238.3037,63.48160722329704,1.0,-1.0,0.004630475508776266,-0.004630475508776266
2022-02-09,45813.46466666667,42987.46466666667,64.43813198322292,-1.0,-1.0,0.007486548937753801,-0.007486548937753801
2022-02-10,45135.45410666667,43454.37410666667,59.93967671285755,-1.0,-1.0,-0.01977070596528674,0.01977070596528674
2022-02-11,45799.32315333334,43152.33315333334,54.68312615878243,-1.0,-1.0,-0.025789140194926174,0.025789140194926174
2022-02-12,43968.64082000001,41987.15082000001,53.97482740893679,-1.0,-1.0,-0.003678222332563097,0.003678222332563097
2022-02-13,43188.143646666664,41797.53364666666,53.19307744473445,1.0,-1.0,-0.0038895851448687013,0.0038895851448687013
2022-02-14,42777.90666666666,41887.90666666666,55.243381221827526,1.0,-1.0,0.01146820514552127,-0.01146820514552127
2022-02-15,43107.99045333333,41816.15045333333,62.59362609393962,-1.0,-1.0,0.04722876701443535,-0.04722876701443535
2022-02-16,45344.22399333333,43019.85399333333,59.10080286200444,-1.0,-1.0,-0.015070201141052064,0.015070201141052064
2022-02-17,44678.33212666667,43435.36212666667,45.44146998509954,-1.0,-1.0,-0.07653493356819008,0.07653493356819008
2022-02-18,44113.087,40021.587,43.68866766123384,1.0,-1.0,-0.013359265667383102,0.013359265667383102
2022-02-19,41061.21250666666,39551.332506666666,44.1376708871559,-1.0,-1.0,0.0026199241315199018,-0.0026199241315199018
2022-02-20,40551.842553333336,39746.552553333335,38.7596845583592,-1.0,-1.0,-0.042223429277602254,0.042223429277602254
2022-02-21,40150.965253333336,38025.52525333333,35.016239425569665,1.0,1.0,-0.035916689265527824,0.035916689265527824
2022-02-22,39432.611633333334,36738.261633333335,40.50192868404693,-1.0,1.0,0.03302433841617636,0.03302433841617636
2022-02-23,38954.598666666665,36875.598666666665,37.749249422182665,1.0,1.0,-0.025642467642837508,-0.025642467642837508
2022-02-24,39213.29718666667,37000.15718666667,42.383109223037266,1.0,-1.0,0.02891811304211722,0.02891811304211722
2022-02-25,40909.30162666667,35388.581626666666,45.96960371380083,-1.0,-1.0,0.02327223922638777,-0.02327223922638777
2022-02-26,40003.89754666667,38334.73754666667,45.61835781325569,-1.0,-1.0,-0.0026122429413982795,0.0026122429413982795
2022-02-27,40443.23352666666,38667.96352666667,40.9550921789883,1.0,1.0,-0.03624153558887355,0.03624153558887355
2022-02-28,39949.74593333333,37094.045933333335,58.53778184164072,1.0,-1.0,0.14485582800848928,0.14485582800848928
2022-03-01,45799.367393333334,39023.697393333336,61.3968692046301,-1.0,-1.0,0.029221501390175986,-0.029221501390175986
2022-03-02,45381.97435999999,43242.954359999996,59.544894767415315,-1.0,-1.0,-0.011891169081429398,0.011891169081429398
2022-03-03,45485.75571333334,43419.845713333336,54.70393032578102,-1.0,-1.0,-0.032783830124999525,0.032783830124999525
2022-03-04,44197.943119999996,41929.10311999999,45.54448418552168,1.0,-1.0,-0.07785697460781071,0.07785697460781071
2022-03-05,42533.2914,38555.9914,46.27514656168861,-1.0,-1.0,0.006368034052761873,-0.006368034052761873
2022-03-06,39884.688366666654,38679.03836666666,43.79475302219045,-1.0,-1.0,-0.024802045588147248,0.024802045588147248
