date,r1,r2,pivot,y_test,predictions,daily returns,model returns
2021-12-14,49247.401373333334,50313.465293333335,47521.823333333334,1.0,1.0,0.035127053546097464,
2021-12-15,48698.67328666667,49267.53004666667,47777.89666666667,-1.0,1.0,0.010791572272299321,0.010791572272299321
2021-12-16,49432.03933333334,50128.94733333334,48303.99333333334,-1.0,1.0,-0.02522460870750398,-0.02522460870750398
2021-12-17,48928.78426,49383.18573999999,48193.27,1.0,1.0,-0.03151595616259362,-0.03151595616259362
2021-12-18,47497.98471999999,48097.415279999994,46527.719999999994,-1.0,-1.0,0.015245213651498446,0.015245213651498446
2021-12-19,47298.50200666667,47745.10132666667,46575.61666666667,1.0,-1.0,-0.003272161877317714,0.003272161877317714
2021-12-20,47852.54753333334,48299.31913333334,47129.38333333334,1.0,-1.0,0.004989799968852626,-0.004989799968852626
2021-12-21,47426.064373333335,47893.04229333334,46670.193333333336,-1.0,-1.0,0.042113511144609594,-0.042113511144609594
2021-12-22,49313.94938666666,49950.903946666665,48282.94666666666,1.0,1.0,-0.00617142034302387,0.00617142034302387
2021-12-23,49302.98065333333,49575.38601333334,48862.05333333334,-1.0,1.0,0.04632095555789717,0.04632095555789717
2021-12-24,51364.39289333332,52179.67377333333,50044.743333333325,-1.0,-1.0,-0.00036999292469663825,-0.00036999292469663825
2021-12-25,51549.377739999996,51885.81226,51004.81,1.0,-1.0,-0.008271153089334793,0.008271153089334793
2021-12-26,50953.38362000001,51192.66638000001,50566.07000000001,-1.0,1.0,0.007456994749567736,-0.007456994749567736
2021-12-27,51202.73933333333,51643.58733333333,50489.16333333333,-1.0,-1.0,-0.0014583808053845182,-0.0014583808053845182
2021-12-28,51705.578,52092.382000000005,51079.48,-1.0,-1.0,-0.06228028237462302,0.06228028237462302
2021-12-29,49815.64394666666,50615.92938666666,48520.26666666666,1.0,1.0,-0.022696573723480662,0.022696573723480662
2021-12-30,47680.32171333334,48162.254953333344,46900.24333333334,-1.0,-1.0,0.014122776320756536,0.014122776320756536
2021-12-31,47737.62333333333,48209.62333333333,46973.62333333333,1.0,-1.0,-0.01918343188485272,0.01918343188485272
2022-01-01,47910.835986666665,48588.21734666667,46814.39666666667,-1.0,-1.0,0.032579403261964845,-0.032579403261964845
2022-01-02,47962.28798666666,48374.40534666667,47295.21666666667,-1.0,-1.0,-0.009145971566960398,0.009145971566960398
2022-01-03,47820.412,48135.708,47310.06,-1.0,-1.0,-0.01776586732106511,0.01776586732106511
2022-01-04,47286.56800000001,47728.832,46570.700000000004,-1.0,-1.0,-0.013221562197902492,0.013221562197902492
2022-01-05,47082.49694666667,47568.07638666667,46296.51666666667,-1.0,-1.0,-0.0519479726069183,0.0519479726069183
2022-01-06,46086.11666666667,47164.63666666667,44340.37666666667,-1.0,-1.0,-0.008488156694659077,0.008488156694659077
2022-01-07,43638.86044,43965.819559999996,43109.63,1.0,-1.0,-0.0351845107655554,0.0351845107655554
2022-01-08,42742.79039333334,43341.24627333333,41774.10333333333,1.0,-1.0,0.002724791707163998,-0.002724791707163998
2022-01-09,42180.797999999995,42605.361999999994,41493.579999999994,-1.0,-1.0,0.004435728245905768,-0.004435728245905768
2022-01-10,42556.55842666666,42931.01490666666,41950.44666666666,1.0,-1.0,-0.0010063390041520348,0.0010063390041520348
2022-01-11,42232.956999999995,42846.202999999994,41240.329999999994,1.0,-1.0,0.021682114096984728,-0.021682114096984728
2022-01-12,43065.54207333333,43497.67459333334,42366.073333333334,-1.0,-1.0,0.027460554575093665,-0.027460554575093665
2022-01-13,44273.324,44715.116,43558.22,1.0,-1.0,-0.03058015163545902,0.03058015163545902
2022-01-14,43959.89062666667,44476.44270666666,43123.776666666665,1.0,-1.0,0.011744565509816507,-0.011744565509816507
2022-01-15,43403.017726666665,43809.60560666667,42744.89666666667,-1.0,-1.0,0.0005650260706233645,-0.0005650260706233645
2022-01-16,43622.02,43915.840000000004,43146.43,-1.0,-1.0,-0.0002931462953200681,0.0002931462953200681
2022-01-17,43384.02288666667,43594.82044666667,43042.81666666667,1.0,-1.0,-0.020199825128634497,0.020199825128634497
2022-01-18,42930.93365333333,43316.973013333336,42306.073333333334,-1.0,-1.0,0.003566213808853691,-0.003566213808853691
2022-01-19,42648.168666666665,42988.244666666666,42097.706666666665,-1.0,-1.0,-0.01634180296051302,0.01634180296051302
2022-01-20,42328.557740000004,42663.81226,41785.9,-1.0,-1.0,-0.023502154704235556,0.023502154704235556
2022-01-21,42707.285579999996,43403.88442,41579.74,-1.0,-1.0,-0.10411763158690412,0.10411763158690412
2022-01-22,39823.8681,41159.5219,37661.92,1.0,-1.0,-0.03769730590849685,0.03769730590849685
2022-01-23,36384.878039999996,37052.10196,35304.88,1.0,1.0,0.033449743409305954,-0.033449743409305954
2022-01-24,36506.552180000006,36954.47782,35781.520000000004,1.0,1.0,0.011472069593911227,0.011472069593911227
2022-01-25,37478.91439333333,38572.262273333334,35709.17333333333,-1.0,1.0,0.008127854753159802,0.008127854753159802
2022-01-26,37439.28148,37874.49852,36734.82,1.0,1.0,-0.004031027384361674,-0.004031027384361674
2022-01-27,38347.12036666667,38980.86296666667,37321.316666666666,1.0,1.0,0.009529103211304513,0.009529103211304513
2022-01-28,37293.74972000001,37701.43028000001,36633.86000000001,1.0,1.0,0.01497466368497391,0.01497466368497391
2022-01-29,37995.30951333334,38430.72715333334,37290.52333333334,-1.0,1.0,0.011938522495158699,0.011938522495158699
2022-01-30,38606.78526666666,38949.52806666666,38052.00666666666,1.0,1.0,-0.0074693110564038045,-0.0074693110564038045
2022-01-31,38249.13132666667,38486.93200666667,37864.21666666667,1.0,1.0,0.015446484007078931,0.015446484007078931
2022-02-01,38754.38764666667,39252.67568666667,37947.83666666667,-1.0,1.0,0.005919114875386322,0.005919114875386322
2022-02-02,39136.56973333333,39435.156933333325,38653.26333333333,1.0,1.0,-0.046472388000493026,-0.046472388000493026
2022-02-03,38313.156539999996,38848.63346,37446.409999999996,1.0,1.0,0.011254497733651725,0.011254497733651725
2022-02-04,37417.204000000005,37685.536,36982.87,-1.0,1.0,0.11424433306415893,0.11424433306415893
2022-02-05,41937.25586666667,43057.21746666667,40124.43666666667,1.0,-1.0,-0.004610065124446061,-0.004610065124446061
2022-02-06,41788.763093333335,42041.44357333334,41379.763333333336,1.0,-1.0,0.02412318803632174,-0.02412318803632174
2022-02-07,42639.20941333334,43002.51725333333,42051.14333333333,1.0,-1.0,0.03442874108058658,-0.03442874108058658
2022-02-08,44419.2563,45092.9537,43328.78,1.0,-1.0,0.004630475508776266,-0.004630475508776266
2022-02-09,45146.528666666665,45813.46466666667,44066.996666666666,-1.0,-1.0,0.007486548937753801,-0.007486548937753801
2022-02-10,44738.71922666667,45135.45410666667,44096.54666666667,-1.0,-1.0,-0.01977070596528674,0.01977070596528674
2022-02-11,45174.633513333334,45799.32315333334,44163.48333333334,-1.0,-1.0,-0.025789140194926174,0.025789140194926174
2022-02-12,43501.00918000001,43968.64082000001,42744.08000000001,-1.0,-1.0,-0.003678222332563097,0.003678222332563097
2022-02-13,42859.95968666667,43188.143646666664,42328.746666666666,1.0,-1.0,-0.0038895851448687013,0.0038895851448687013
2022-02-14,42567.86666666667,42777.90666666666,42227.886666666665,1.0,-1.0,0.01146820514552127,-0.01146820514552127
2022-02-15,42803.116213333335,43107.99045333333,42309.63333333333,-1.0,-1.0,0.04722876701443535,-0.04722876701443535
2022-02-16,44795.67267333333,45344.22399333333,43907.76333333333,-1.0,-1.0,-0.015070201141052064,0.015070201141052064
2022-02-17,44384.991206666666,44678.33212666667,43910.176666666666,-1.0,-1.0,-0.07653493356819008,0.07653493356819008
2022-02-18,43147.493,44113.087,41584.54,1.0,-1.0,-0.013359265667383102,0.013359265667383102
2022-02-19,40704.88082666667,41061.21250666666,40128.10666666667,-1.0,-1.0,0.0026199241315199018,-0.0026199241315199018
2022-02-20,40361.79411333333,40551.842553333336,40054.17333333333,-1.0,-1.0,-0.042223429277602254,0.042223429277602254
2022-02-21,39649.36141333334,40150.965253333336,38837.443333333336,1.0,1.0,-0.035916689265527824,0.035916689265527824
2022-02-22,38796.74503333333,39432.611633333334,37767.503333333334,-1.0,1.0,0.03302433841617636,0.03302433841617636
2022-02-23,38463.954666666665,38954.598666666665,37669.776666666665,1.0,1.0,-0.025642467642837508,-0.025642467642837508
2022-02-24,38690.996146666665,39213.29718666667,37845.57666666667,1.0,1.0,0.02891811304211722,0.02891811304211722
2022-02-25,39606.411706666666,40909.30162666667,37497.496666666666,-1.0,-1.0,0.02327223922638777,0.02327223922638777
2022-02-26,39609.97578666666,40003.89754666667,38972.35666666667,-1.0,1.0,-0.0026122429413982795,0.0026122429413982795
2022-02-27,40024.26980666667,40443.23352666666,39346.11666666667,1.0,1.0,-0.03624153558887355,-0.03624153558887355
2022-02-28,39275.80073333333,39949.74593333333,38184.92333333333,1.0,1.0,0.14485582800848928,0.14485582800848928
2022-03-01,44200.30927333333,45799.367393333334,41612.003333333334,-1.0,-1.0,0.029221501390175986,0.029221501390175986
2022-03-02,44877.16564,45381.97435999999,44060.06,-1.0,-1.0,-0.011891169081429398,0.011891169081429398
2022-03-03,44998.20095333334,45485.75571333334,44209.02333333334,-1.0,-1.0,-0.032783830124999525,0.032783830124999525
2022-03-04,43662.49688,44197.943119999996,42795.799999999996,1.0,-1.0,-0.07785697460781071,0.07785697460781071
2022-03-05,41594.6486,42533.2914,40075.32,-1.0,-1.0,0.006368034052761873,-0.006368034052761873
2022-03-06,39600.154966666654,39884.688366666654,39139.59666666666,-1.0,1.0,-0.024802045588147248,0.024802045588147248
